epoch,train_mse,train_nrmse,train_rel_l2,val_mse,val_nrmse,val_rel_l2,lambda_prior,gate_temperature,entropy_reg,alpha_entropy,gamma,alpha_self_mean,alpha_lf1_mean
1,1.1639093671156013,0.9608934690123019,1.003212943284408,0.20324320174180543,0.44631168246269226,0.462080832857352,0.991,2.99,0.0029850000000000002,0.6931219474129054,0.9976679682731628,0.49987498210824055,0.5001250204832658
2,0.12962663419868636,0.3547054086042487,0.37614118275435077,0.1411514818095244,0.37104204526314366,0.39113277999254376,0.982,2.98,0.00297,0.6929838875065679,1.0054363012313843,0.4914539720701135,0.508546028966489
3,0.09657339959040932,0.30400971873946814,0.3221189068711322,0.08627445608950578,0.28618819266557693,0.30081333506565827,0.973,2.97,0.002955,0.6929834396942802,1.0149943828582764,0.4916876378266708,0.5083123647648355
4,0.0852919106250224,0.2827001214027405,0.2978076960729516,0.08626620342525151,0.28725682542874265,0.29999987666423505,0.964,2.96,0.00294,0.692934210922407,1.0196433067321777,0.49099809682887535,0.5090019034302753
5,0.07934502589961757,0.27277179334474644,0.2891904654710189,0.08618261120640315,0.28664365811989856,0.2978093561071616,0.955,2.95,0.002925,0.6929340269254601,1.0242795944213867,0.49103682403979093,0.5089631775151129
6,0.07121747933004213,0.25624164316965187,0.2709800230420154,0.06697971531404899,0.25018945737526965,0.2606245835240071,0.946,2.94,0.0029100000000000003,0.6926653001619422,1.0276668071746826,0.4858745927396028,0.5141254031139871
7,0.04966008235578952,0.21661350364270418,0.22928149104118348,0.04625175585253881,0.21164757873003298,0.21656213586147016,0.9369999999999999,2.93,0.002895,0.6921752597974694,1.0298795700073242,0.4820926686991816,0.5179073302642159
8,0.032711975244076354,0.17647562674854111,0.18782854054285134,0.03333814743046577,0.18013386714916962,0.18634872768933958,0.9279999999999999,2.92,0.00288,0.6926565989204075,1.0322917699813843,0.4888964406822039,0.5111035564671392
9,0.027811314036016877,0.16323472701984904,0.17248884024827377,0.03804652446594376,0.18950854356472308,0.19566570566250727,0.919,2.91,0.002865,0.6922924363094828,1.034266471862793,0.4895568202371183,0.5104431815769361
10,0.022212014088164204,0.14522864326186802,0.15355274819809459,0.02121648994775919,0.14302626767983803,0.14666513009713247,0.91,2.9,0.00285,0.6913560913956683,1.036975622177124,0.4863072431605795,0.5136927542479142
11,0.014311645236676154,0.11723866138769233,0.12352360150088434,0.01805258012161805,0.13187839348728841,0.13561861073741546,0.901,2.89,0.002835,0.6885088402292002,1.0388331413269043,0.4787095204643581,0.5212904795356419
12,0.01351552114052617,0.11380221351333286,0.1199188206506812,0.01699465921578499,0.12940730641667658,0.13541518782193845,0.892,2.88,0.00282,0.6863238935885222,1.0406920909881592,0.4764334131842074,0.5235665813736293
13,0.011656205348022607,0.10567003721776216,0.11225157535594443,0.011113676923112227,0.10461018291803506,0.11066948909025925,0.883,2.87,0.002805,0.6858747865842736,1.0426942110061646,0.4801456534344217,0.5198543517485908
14,0.009034037428057713,0.09322923551435056,0.0981566204972889,0.009998920695999494,0.09757336630271031,0.10236928697962028,0.874,2.86,0.00279,0.6845790427664052,1.0442931652069092,0.47720611769220106,0.5227938854176065
15,0.011248516453349072,0.10375282505284185,0.10911274824453437,0.0072598722046957566,0.08401050561895737,0.08811994441426717,0.865,2.85,0.002775,0.6852781218031179,1.0464483499526978,0.47724768286165986,0.5227523181749427
16,0.009280640478043452,0.09379090407620305,0.09901069376779639,0.010430652182549238,0.10077353280324203,0.10527274958216228,0.856,2.84,0.00276,0.6840310034544571,1.0481276512145996,0.47586555584617285,0.5241344514100448
17,0.010280601510211177,0.09871502868507219,0.10484781135683474,0.010102549711099038,0.09831414572321452,0.1068395167016066,0.847,2.83,0.002745,0.6840011524117511,1.0496885776519775,0.4762447818465855,0.5237552197083183
18,0.009920193481704464,0.0973223231408907,0.10251749980708827,0.009301769600894589,0.0950245143702397,0.09885002414767559,0.838,2.82,0.0027300000000000002,0.683490308471348,1.0509822368621826,0.47905875755392985,0.5209412445192751
19,0.008768706408369801,0.09121192447517229,0.09625738703686258,0.007935507276740212,0.08820807876495215,0.09288262088711445,0.829,2.81,0.002715,0.6822966269824816,1.0522122383117676,0.47163925144983376,0.5283607472544131
20,0.009348905135108077,0.0934674202747967,0.09799935649270597,0.006727166321630089,0.08006156909351166,0.08460831212309691,0.82,2.8,0.0027,0.6828122335931529,1.0533748865127563,0.4756817825462507,0.5243182254874188
21,0.006774779508376251,0.08051296407761781,0.08512027866166572,0.005580103239760949,0.07377318235544059,0.07749860361218452,0.8109999999999999,2.79,0.002685,0.6817438643911611,1.0549721717834473,0.4702623745669489,0.5297376238781473
22,0.0072947476383136665,0.08287211319674616,0.08729978747989821,0.008266247934303604,0.08937797666742252,0.09378750579288372,0.802,2.78,0.00267,0.6810099555098492,1.056318998336792,0.4710227175899174,0.528977282150932
23,0.006498313958392195,0.0786709510113882,0.08335311001409655,0.00622803123237995,0.07789582859438199,0.08136841640449487,0.7929999999999999,2.77,0.0026550000000000002,0.6812814551851024,1.0580028295516968,0.4706685931786247,0.5293314073396765
24,0.0070683823291050355,0.08211506209943606,0.0863417730383251,0.006654135005262036,0.07990734508404365,0.08541986833398159,0.784,2.76,0.00264,0.6811695067778878,1.0595643520355225,0.4679557784743931,0.5320442246354145
25,0.00561885348237727,0.07345197181338849,0.07799754110367402,0.004894588948585666,0.06842049039327182,0.07047918639503993,0.775,2.75,0.002625,0.6812386025553164,1.060750126838684,0.4669110733529796,0.5330889276836229
26,0.004771894663977234,0.06733532505838767,0.07099025754824928,0.0081387185312521,0.08746381132648541,0.08945087228830044,0.766,2.74,0.00261,0.6805990343508513,1.062234878540039,0.46652096872744353,0.5334790291993514
27,0.004622780867730793,0.06612838934297147,0.06938908229703489,0.004218595165114563,0.06377242605846661,0.06609698513952586,0.757,2.73,0.002595,0.6801549180694249,1.063877820968628,0.46614871025085447,0.533851286639338
28,0.004484827480400386,0.06544548318437908,0.06884540539720783,0.00564714096701489,0.07426607565811047,0.07608629075380471,0.748,2.7199999999999998,0.00258,0.6795374870300293,1.0644537210464478,0.46337920323662135,0.5366207988365836
29,0.004010017556340798,0.062116286223349367,0.06551570970079174,0.004534072072531741,0.0662367670581891,0.06828899824848542,0.739,2.71,0.002565,0.6800650721010955,1.0656427145004272,0.4645388683547144,0.5354611339776413
30,0.0037574044631227205,0.05979279383369114,0.06281312169588131,0.004615834641019599,0.06407815103347485,0.06417622775412522,0.73,2.7,0.00255,0.680220601869666,1.0664416551589966,0.46497845675634303,0.5350215538688328
31,0.004476957731758771,0.06510262631851693,0.06843002743047216,0.004852331632998987,0.06829303488708459,0.07106756161038692,0.721,2.69,0.002535,0.6805012630379719,1.067667007446289,0.4681561723999355,0.5318438353745834
32,0.004935944236248084,0.0684818556127341,0.07245024633796318,0.003657593848541952,0.05893597322014662,0.061163750978616566,0.712,2.68,0.00252,0.6808110895364181,1.0688773393630981,0.46674382271973985,0.5332561741704526
33,0.003940124028240857,0.0613175252209539,0.06431656065194503,0.004240088988668644,0.06250778786264934,0.06342408634149112,0.703,2.67,0.0025050000000000003,0.6798781109892804,1.0696699619293213,0.4639280492844789,0.536071951492973
34,0.004050610985849862,0.062005518279645754,0.06510906653559727,0.0028270043638678123,0.05164625467016147,0.05392598489729258,0.694,2.66,0.00249,0.6801009473593339,1.0708105564117432,0.46504085996876593,0.5349591379580291
35,0.0038783112338379674,0.060531623629124266,0.06365508748137433,0.0040328851677119155,0.060839035333349153,0.06198601510662299,0.685,2.65,0.002475,0.6802037534506424,1.0717030763626099,0.4682139210079027,0.5317860758822898
36,0.0045518196147421135,0.06539267534795015,0.06859009751807088,0.004691092601905649,0.06625535768958238,0.06808422033030254,0.6759999999999999,2.64,0.00246,0.680716179764789,1.0726341009140015,0.4676087993642558,0.5323912008948948
37,0.004026214744004867,0.0610817767355753,0.06392387404390003,0.004927100452522819,0.06781230609004314,0.06861729346788846,0.667,2.63,0.002445,0.680224693339804,1.0734899044036865,0.4665827551613683,0.533417242506276
38,0.004151121786107188,0.06237516947414564,0.0651754575903001,0.004050013609230518,0.06258787859517795,0.06569151050196244,0.6579999999999999,2.62,0.00243,0.6805700561274652,1.0746556520462036,0.4704621662264285,0.5295378384382828
39,0.0035871875857043526,0.05822365970715233,0.06079649815092916,0.0033924622873130897,0.056140625419525,0.05714577106902233,0.649,2.61,0.002415,0.6796868148057357,1.0750374794006348,0.4645694157351618,0.5354305889295495
40,0.0036774850855379,0.05893919260605522,0.061886378993158755,0.003494733729614661,0.057549644548159376,0.059157424534742646,0.6399999999999999,2.6,0.0024000000000000002,0.6796455207078353,1.076781153678894,0.46632028325744296,0.5336797149285026
41,0.003969338238644211,0.06093872597684031,0.0633149031387723,0.0043030491618153,0.06445580391356578,0.0681321406020568,0.631,2.59,0.002385,0.679499554115793,1.0773452520370483,0.4651828812516254,0.5348171114921569
42,0.0038886772063763246,0.060171230590861775,0.06270883361930432,0.007266579052576652,0.08361786933472523,0.08556982244436558,0.622,2.58,0.00237,0.6797048413235208,1.0782431364059448,0.4663784410642541,0.5336215506429257
43,0.004889792704995235,0.06720435868786728,0.07020859569311141,0.004075567323105553,0.060234712866636425,0.059938402559894785,0.613,2.57,0.0023550000000000003,0.6806313893069391,1.079148530960083,0.4669885935990707,0.5330114105473394
44,0.002861258274187212,0.05195690607247145,0.054141205484452455,0.003441654423323388,0.05710509419441223,0.06100913223165732,0.604,2.56,0.00234,0.679540909373242,1.0799856185913086,0.4636246346909067,0.5363753609035327
45,0.0040457284685386265,0.06115741030029628,0.06449704030933587,0.0039702187417648156,0.061514366418123245,0.06331182400194499,0.595,2.55,0.002325,0.680088678650234,1.0810552835464478,0.4663118214710899,0.5336881875991821
46,0.0029110613744705916,0.05234125211187031,0.05448482185602188,0.0027720932266674936,0.05071229072144398,0.05167763064113947,0.586,2.54,0.00231,0.6798918402713278,1.0822100639343262,0.4658422231674194,0.5341577799423881
47,0.0033298046186404384,0.05579297775807588,0.05861420760984006,0.0038819260572871338,0.060542783771569915,0.06125713841846356,0.577,2.5300000000000002,0.002295,0.6796132564544678,1.0838559865951538,0.46545036486957386,0.5345496327980704
48,0.003056893619182317,0.053220341192639395,0.055239061752091284,0.002497521712659643,0.048310165150234334,0.04958048161978905,0.5680000000000001,2.52,0.00228,0.679642200988272,1.0846110582351685,0.4673014257265174,0.5326985659806625
49,0.0025937510451868825,0.049471156882203146,0.051460430965475416,0.002079957677499176,0.043443682531897836,0.044308589126628176,0.5589999999999999,2.51,0.002265,0.6792128303776617,1.0852330923080444,0.46446027289266173,0.535539726589037
50,0.002891965906905091,0.05183843937904938,0.05405748207931933,0.006195030430367647,0.0740777522038955,0.07283472728270751,0.55,2.5,0.0022500000000000003,0.6795675526494566,1.0855756998062134,0.467141032996385,0.5328589615614517
51,0.0032119239052838607,0.05509785634020101,0.05747516939173574,0.004626408407392983,0.06469705357001378,0.06411340374212998,0.5409999999999999,2.49,0.002235,0.679995027832363,1.086785078048706,0.4678611643936323,0.5321388353472171
52,0.0030311390474114727,0.05340043209169222,0.0555097127414268,0.002826245577755169,0.051662853345848046,0.05234160661124266,0.532,2.48,0.0022199999999999998,0.6795172919397768,1.0871374607086182,0.46464567391768746,0.5353543317836263
53,0.0027291589598778796,0.05078295294357383,0.05297021975983744,0.0026701160867770132,0.04986917213178598,0.050828976556658745,0.5229999999999999,2.4699999999999998,0.002205,0.6799912452697754,1.0882543325424194,0.468474413001019,0.5315255942551986
54,0.0029720963788745195,0.05241853737312815,0.05468358812124833,0.0026473397962175882,0.05031917358820255,0.05190477935740581,0.514,2.46,0.00219,0.6806272786596547,1.0891063213348389,0.4698099092296932,0.5301900863647461
55,0.0028158484998604526,0.051316363396851916,0.05352577936390172,0.0033933092087793807,0.05733055578401455,0.05906689568207814,0.5049999999999999,2.45,0.002175,0.680231323449508,1.0899972915649414,0.468983751276265,0.5310162513152413
56,0.003423187616483673,0.05651703664790029,0.05867131365382153,0.003575053151087979,0.05818844500642557,0.05966843363757317,0.4959999999999999,2.44,0.00216,0.6799578267595042,1.0907024145126343,0.46778173550315527,0.5322182665700498
