epoch,train_loss,val_loss
1,0.9713692080264554,0.90275895520858
2,0.8549775927791775,0.7933140884067181
3,0.7242852970724195,0.6406577894263399
4,0.6414762712945011,0.6235427668220118
5,0.6131486898305648,0.5538547384111505
6,0.5740503793973534,0.5673820192652538
7,0.5295976538643195,0.5180356874501795
8,0.4901913806188817,0.44077169133308236
9,0.4365243448359092,0.4234479921951629
10,0.4266148945754598,0.40400125986352603
11,0.4052386367956299,0.39180992816325116
12,0.4168197632209634,0.4165567268703814
13,0.39399015987554686,0.3803777735783044
14,0.3824695477665031,0.37473605472342414
15,0.37904354612281704,0.3650392766733815
16,0.3690886918840737,0.3646974735391469
17,0.3537894978792316,0.3591716240970114
18,0.38733064455672117,0.36466292749371443
19,0.3672074345772543,0.36951158294701636
20,0.3899227018266636,0.3586835305493577
21,0.36008295323407763,0.3485655399193441
22,0.37317983474477334,0.3390187315624161
23,0.36033129664050373,0.37562849729282216
24,0.37833209247050986,0.3403435743094088
25,0.34033418224896755,0.36001346628169967
26,0.3571662672074237,0.34796653303287384
27,0.34375798851718725,0.3368043001731834
28,0.33987853631704207,0.32875200426369383
29,0.3464565512528614,0.31245608444799455
30,0.32700483561683225,0.3450394275791962
31,0.3443634739863835,0.32266485631316527
32,0.3319610003206797,0.3379499054791635
33,0.34916785051082744,0.36632204653326433
34,0.345126087762719,0.32536466662447555
35,0.33783825456535554,0.3153236422473028
36,0.32293242141370865,0.30463140329023947
37,0.3180122081202026,0.31424781978877264
38,0.3085746010269117,0.3151026827500279
39,0.31244387942421775,0.3085744872427823
40,0.34336712442595385,0.35230301869542974
41,0.33941563506111455,0.32741373934243856
42,0.34607379479468053,0.32282195540896635
43,0.32080067895049214,0.3223083881208472
44,0.31902620233712153,0.33593818254040597
45,0.3084849315377238,0.298248250009422
46,0.31933218801283164,0.3134503572208242
47,0.2993898206743701,0.30599564709759
48,0.3366095043461898,0.3062669855908941
49,0.3206140771741777,0.33037444067778143
50,0.3059903840099383,0.30205151401366803
51,0.30024399699462245,0.29295302707151066
52,0.2848367623774609,0.2934450224079285
53,0.31023276608939454,0.29032164722456966
54,0.30168552664006393,0.29994703683638035
55,0.35474388763822357,0.3289349461557871
56,0.34192732378233187,0.3292282707709119
57,0.3012151862012929,0.3007023524222219
58,0.29988260114080856,0.31668133641544144
59,0.32596419438673035,0.28236282334889384
60,0.2687609200380439,0.25510730637344803
61,0.30727469164375976,0.3149527603372894
62,0.2878204215096082,0.2627772273575154
63,0.2620668536443322,0.25403905557211776
64,0.2623938901764472,0.2449172101821517
65,0.2659227394945569,0.2955200547413121
66,0.24952368106587927,0.26945666703663973
67,0.2609560180420412,0.26871202023405777
68,0.24969887967019994,0.25646211957572995
69,0.23321683177006283,0.22063146860229044
70,0.2779470265472197,0.2983430522426328
71,0.30492365425656953,0.2401142503907507
72,0.2219075592333994,0.269479176902532
73,0.2247268614070169,0.22071574419214016
74,0.23292389002900138,0.2176861664406339
75,0.22524911609002415,0.22606317486081803
76,0.19492177011264156,0.22599516375769949
77,0.2123774787101626,0.22155530676058957
78,0.2253269493393016,0.2562627557076906
79,0.21586615071401327,0.21748659276125723
80,0.19922673949814143,0.17376188679894708
81,0.17129886584782675,0.20095284413873105
82,0.22040403566577219,0.17520195973995037
83,0.17902382194622182,0.18794742514166915
84,0.1833217946059278,0.19176797090765826
85,0.16762062285947948,0.16751369270017571
86,0.17133021747056967,0.1846622870231332
87,0.16391989546696595,0.19335079570312547
88,0.19673223158222009,0.15589364108286405
89,0.16813342576863996,0.16671574985921234
90,0.1590214333377288,0.19771349067825422
91,0.15307177829798485,0.134533104610473
92,0.1458275341501804,0.1648102974084983
93,0.13375697432080033,0.16026975319050907
94,0.1772562793242894,0.13726071703404114
95,0.13381903275240178,0.14252839657597074
96,0.12945963745954267,0.13172750854701326
97,0.1278458725088816,0.13877746843753902
98,0.11822444083735487,0.1421213798355638
99,0.11558386452239135,0.1259177316885843
100,0.14691303626029842,0.14477527810069254
101,0.12758649607717432,0.1460266434832623
102,0.13565409776745918,0.12297305365776956
103,0.11745545912685813,0.12774266134527393
104,0.11809747191992673,0.1339792652349723
105,0.11515421051310147,0.13358016431630404
106,0.12074419323553486,0.1341643783457596
107,0.12263989259363342,0.1204967502140461
108,0.10797332052059681,0.14410901256372458
109,0.12200782179458762,0.13491509346884295
110,0.12216246796065364,0.12703387622247664
111,0.1109977823720083,0.14459086188995152
112,0.1291582922576737,0.12334167673474267
113,0.11231811339952355,0.14855720868385525
114,0.11465329359224224,0.13704357962859304
115,0.10633700523163457,0.12906127796510705
116,0.12535416633824945,0.12285308976818744
117,0.1033815476914932,0.1315588401747228
118,0.10657675440502017,0.11170247424963423
119,0.09105145496821329,0.10998940665769696
120,0.09477507019397981,0.1257568602648594
121,0.09763894881761186,0.11654047828569149
122,0.09789286374018111,0.10407664880791404
