epoch,train_mse,train_nrmse,train_rel_l2,val_mse,val_nrmse,val_rel_l2,lambda_prior,gate_temperature,entropy_reg,alpha_entropy,gamma,alpha_self_mean,alpha_lf1_mean,alpha_lf2_mean
1,0.3980276595748532,0.3807038185909698,0.40536315376737864,0.00731718296962745,0.08223950591625519,0.0862400006973049,0.991,2.99,0.0029850000000000002,1.098598053478651,1.0303584337234497,0.33216843381119604,0.3341388671328268,0.3336927007386273
2,0.009929748072039161,0.0933048833367879,0.09873152812224904,0.013077194268987017,0.11121805547510535,0.12410226062808222,0.982,2.98,0.00297,1.0986113051249848,1.0441118478775024,0.33301995249705774,0.3339567114229958,0.3330233357240012
3,0.012139489049098002,0.09992278557388065,0.10545940913187177,0.009434838119207077,0.09614843354352469,0.10258543871126129,0.973,2.97,0.002955,1.0986119204571918,1.0572904348373413,0.33331187527291034,0.3336012331722355,0.333086893366939
4,0.0068069480300904225,0.07663322643788449,0.08126885753759991,0.005621475271555116,0.07399371964404884,0.07861154313081677,0.964,2.96,0.00294,1.098611439995864,1.0646196603775024,0.33352705891305795,0.33344407080309657,0.3330288695072377
5,0.004279403299867832,0.061613896859649984,0.06498384204704262,0.001781244023626182,0.0403491911089536,0.041693695847993914,0.955,2.95,0.002925,1.0986106482442635,1.0746744871139526,0.33363629895364555,0.333360056050049,0.33300364473743627
6,0.00451317420391109,0.060964359890722165,0.06414246347598351,0.005091865488228578,0.07059531232107033,0.075178885814345,0.946,2.94,0.0029100000000000003,1.098608398411613,1.0812488794326782,0.3337596442619183,0.33328390658613655,0.3329564504462914
7,0.002686213345006998,0.04789940876144022,0.05032022285652342,0.0028482629540059895,0.05224758719356315,0.055119954809112456,0.9369999999999999,2.93,0.002895,1.098605054209209,1.0868514776229858,0.33387085701562425,0.3332151705874423,0.3329139724616507
8,0.0027701239076055725,0.04854504393977917,0.05111090908884743,0.003162066264584371,0.05515420237935863,0.05875426758695575,0.9279999999999999,2.92,0.00288,1.098602527127592,1.092099666595459,0.3339368632380789,0.3331764717702627,0.3328866628236284
9,0.0021127730077860653,0.04307470833488319,0.045427377599652506,0.002389923079409501,0.04825443239177315,0.052056477812019365,0.919,2.91,0.002865,1.0985925632501659,1.0971460342407227,0.33412099784153165,0.33307598157503704,0.3328030244988287
10,0.0026204446827422477,0.04779903541736701,0.05065301932337877,0.003964531888678959,0.06236627755813228,0.06559137179000864,0.91,2.9,0.00285,1.0985906791997655,1.103843331336975,0.3342007022597761,0.3330493670333092,0.3327499325189994
11,0.002014583468651571,0.04137393449161133,0.04359553215153572,0.0018346846031332478,0.04207550831934781,0.04677824896660823,0.901,2.89,0.002835,1.0985833240772045,1.1087632179260254,0.3343641098495674,0.3329739538906193,0.3326619384278433
12,0.0017241878530069232,0.03841849649881177,0.04034193152567851,0.0011831318244148155,0.03338927437451858,0.034675342112200934,0.892,2.88,0.00282,1.0985810364496436,1.1126458644866943,0.33445346569005363,0.3329294210018734,0.33261711524959237
13,0.0016904731502809058,0.037943029828798366,0.040020880567457985,0.0014430409081470112,0.037454029943034484,0.03998887039793348,0.883,2.87,0.002805,1.0985760102442887,1.1172410249710083,0.3345810397893158,0.33286477067183207,0.33255419070376374
14,0.0015761910967873136,0.03670822031973951,0.03873573322492236,0.0018814013715950971,0.03946610115179159,0.038937507251512654,0.874,2.86,0.00279,1.0985745420673383,1.1212258338928223,0.33464756093506703,0.3328373743449697,0.3325150648493979
