epoch,train_mse,train_nrmse,train_rel_l2,val_mse,val_nrmse,val_rel_l2,lambda_prior,gate_temperature,entropy_reg,alpha_entropy,gamma,alpha_self_mean,alpha_lf1_mean,alpha_lf2_mean,alpha_lf3_mean,alpha_lf4_mean
1,2.432122314185427,1.4159192223297923,1.6126406276435183,1.8275780422346932,1.3200286371367318,1.5016773087637765,0.991,2.99,0.0029850000000000002,1.6077285816794948,1.0006639957427979,0.215025616319556,0.19570959137197128,0.19728232998596995,0.19611930193608268,0.1958630505883903
2,1.0487968273330153,0.9620066923007631,1.0391826838777776,1.1714251339435577,0.9359007435185569,0.8406374965395246,0.982,2.98,0.00297,1.6020903022665727,1.0024263858795166,0.24768347332352086,0.1851568995860585,0.189781527770193,0.1886710378161648,0.18870705313849867
3,0.7713744073060521,0.7887135362415983,0.8031207720438639,0.6479058180536542,0.7112553758280618,0.6754506400653294,0.973,2.97,0.002955,1.5878566398955227,1.0053268671035767,0.28671133518218994,0.17415083761800798,0.18032016879633853,0.17945057571979992,0.1793670696124696
4,0.30530727693909093,0.514533962074079,0.561100116947241,0.3137848973274231,0.5431765828813825,0.636270808322089,0.964,2.96,0.00294,1.5880870358985768,1.0073188543319702,0.2855892170939529,0.17439472152475724,0.18094590567705923,0.17983430780862508,0.17923583848434582
5,0.2331234156562571,0.45367793660414846,0.5002177420415377,0.20157778422747338,0.40782775836331503,0.3987355956009456,0.955,2.95,0.002925,1.355507206498531,1.009400486946106,0.5105659804846111,0.11806959122942205,0.12516159080622488,0.12351116982468388,0.12269168778469688
6,0.19895430928782412,0.4193985012539646,0.46204675394192074,0.1855520595397268,0.4249397431101118,0.49577403494289946,0.946,2.94,0.0029100000000000003,1.498098003236871,1.0127886533737183,0.3959659181143108,0.14678434583178737,0.1545422430101194,0.1515404927103143,0.1511669995491965
7,0.11749853402899023,0.3315968999737187,0.388531311039339,0.08508426217096192,0.27784429703439983,0.2946351724011557,0.9369999999999999,2.93,0.002895,1.4899477895937467,1.0145609378814697,0.4127843432259141,0.1425489772830093,0.1507428366886942,0.14710677323634164,0.1468170828986586
8,0.08070615130035501,0.26828615785690774,0.29685062849730776,0.08941788013492312,0.29716730969292776,0.3790448542152132,0.9279999999999999,2.92,0.00288,1.403848505856698,1.01554274559021,0.4857721684271829,0.12446472323254536,0.1326450020597692,0.12863047394836158,0.1284876357306514
9,0.0775357469132072,0.2661722673658739,0.3031712707720305,0.05839342464293752,0.23208006577832357,0.2551297034536089,0.919,2.91,0.002865,1.4264633028130782,1.0176901817321777,0.467353692180232,0.12915772330342679,0.13743456779864796,0.13313920874344676,0.13291480901994204
10,0.1124243963705866,0.3117151239462066,0.3724895140580964,0.11753773369959422,0.33969726307051523,0.43047372571059633,0.91,2.9,0.00285,1.4493479017625774,1.0212656259536743,0.44875382488234,0.13365476486975686,0.14229290056646915,0.13774990408044113,0.13754860141821074
11,0.075100718752334,0.25877789917745087,0.28767867229486765,0.13721563667058945,0.3518070514713015,0.3800010915313448,0.901,2.89,0.002835,1.3991634113746776,1.0227447748184204,0.48893799698143675,0.12339730482352407,0.13234362633604752,0.12782916112949974,0.1274919120366113
12,0.0975466330061879,0.29384271931229977,0.33915915117974865,0.079054219648242,0.26186459192207884,0.2731923737696239,0.892,2.88,0.00282,1.4127319130981177,1.0249862670898438,0.4785013167481673,0.12611290995489088,0.13525157800891943,0.1303304512249796,0.1298037409259562
13,0.052524679650863014,0.21765685290621037,0.24571298637933897,0.06463356156434331,0.2522954153163092,0.3251328596046993,0.883,2.87,0.002805,1.407095060013888,1.0271661281585693,0.4813867640077022,0.12551236832351015,0.1346621649307117,0.12957405050595602,0.12886466164337962
14,0.06394405166308086,0.2445845551658095,0.28358854902418035,0.06516509396689278,0.24184656143188477,0.2627779415675572,0.874,2.86,0.00279,1.4237158465803714,1.0303747653961182,0.4695345001262531,0.12866585793202384,0.1378438739400161,0.132394144932429,0.13156162359212575
15,0.04676449586424911,0.2070260999495523,0.239271185115764,0.03371717567954745,0.17980773746967316,0.21343376168182918,0.865,2.85,0.002775,1.378402124371445,1.0331531763076782,0.5038868439824957,0.12012226382891338,0.12942190755877578,0.12369628512022789,0.12287270682945586
16,0.028107364384228724,0.16078719392157437,0.18503686968694655,0.03592674247920513,0.1848339012690953,0.23036207684448787,0.856,2.84,0.00276,1.3795854627040394,1.0371618270874023,0.5028162671808611,0.12056944649993327,0.129747895033736,0.12379309848735207,0.12307329109886236
17,0.03853723785856314,0.18517089308353893,0.21515857911946482,0.04111764420356069,0.19979235529899597,0.235543749162129,0.847,2.83,0.002745,1.3628106535526745,1.0391260385513306,0.5127970309633958,0.11833310571678898,0.1273089265614225,0.12125349829071447,0.12030744029764544
18,0.03413031982225284,0.17881283791441666,0.20943288740358854,0.02894972643948027,0.15982533246278763,0.1738891452550888,0.838,2.82,0.0027300000000000002,1.3951192404094495,1.0435912609100342,0.49225101554602907,0.1234296162923177,0.13271450212127284,0.12631193090949142,0.1252929238896621
19,0.024159541549651248,0.14833302351466396,0.17097344863833042,0.0282361299198653,0.1605160885623523,0.18037498742341995,0.829,2.81,0.002715,1.3397479684729325,1.0467811822891235,0.5312797270323101,0.11381519690417406,0.12283664732648615,0.11649411524596967,0.11557431022326152
20,0.032241581890143846,0.1701651037785045,0.1969805294484423,0.030199544371238778,0.17184138404471533,0.20310449919530324,0.82,2.8,0.0027,1.3737941917620207,1.0522347688674927,0.5068710435900772,0.1199253035480516,0.129098463215326,0.12250110859933652,0.1216040742501878
21,0.02479672227708394,0.15182358261786008,0.17744368837590804,0.034579663670488765,0.16941656917333603,0.1773559536252703,0.8109999999999999,2.79,0.002685,1.3861288647902639,1.0564038753509521,0.49593246871964974,0.12285321924770087,0.1321327356915725,0.1250547926154053,0.1240267905226925
22,0.020830656940999785,0.1372645907757575,0.15815559447857372,0.0380796840680497,0.19177543265478952,0.25509522535971235,0.802,2.78,0.00267,1.3731533769975628,1.0620728731155396,0.5079415064109,0.11992354743313371,0.12937717427287185,0.12205078988744501,0.12070698016568233
23,0.025854341816483883,0.1529417309844703,0.1778564628279,0.03759571776858398,0.17257528539214814,0.17163139900990895,0.7929999999999999,2.77,0.0026550000000000002,1.3480553877981085,1.0666892528533936,0.5245254709009539,0.1157925434802708,0.12530006442153663,0.11795282782169811,0.11642910409391972
24,0.02594704252847454,0.15411969274282455,0.18146523689491706,0.023230555866445814,0.1513394724045481,0.1947312993662698,0.784,2.76,0.00264,1.3579550500501667,1.0722284317016602,0.5171658532661304,0.11779378968895528,0.1273696421269785,0.11958023382906328,0.11809048226528
25,0.014358813825406526,0.11456942323007081,0.13345292380504442,0.011271651734464936,0.10168835307870593,0.12229733488389424,0.775,2.75,0.002625,1.3501598751335813,1.0781363248825073,0.5219133851820963,0.1172350140517218,0.12636669058548777,0.11792923091796406,0.11655567743276295
26,0.014747453461352148,0.11592755218346913,0.13438440258042855,0.022979956386344775,0.14723569261176245,0.16479104650872095,0.766,2.74,0.00261,1.356557381780524,1.086029052734375,0.5185775432670325,0.11897978970879003,0.12772287637518162,0.11818009275093413,0.11653969972802881
27,0.013108908084400912,0.10923603882915095,0.12519408657885434,0.02720530065042632,0.15729445112603052,0.2200272200363023,0.757,2.73,0.002595,1.3841730167991237,1.0900052785873413,0.4993745506855479,0.12449702319868824,0.1327264110247294,0.12262872332020809,0.12077329072513078
28,0.01973358682242402,0.12859391800144263,0.15149163075706415,0.04769934022000858,0.19600767748696463,0.19027896864073618,0.748,2.7199999999999998,0.00258,1.3538649960568077,1.0911178588867188,0.5200295803839701,0.11927745765761326,0.12732877333958945,0.11753775022531811,0.1158264400927644
29,0.019252492899173183,0.1312407444705043,0.15155516198852606,0.01903235130677266,0.12626368233135768,0.1284486981374877,0.739,2.71,0.002565,1.374432593061213,1.0925499200820923,0.5061050794626537,0.12325009651351393,0.13054065014186658,0.12100000967059218,0.11910417309978552
30,0.015184274592779969,0.11463644558139015,0.1269708843084804,0.04284943374139922,0.1917931384273938,0.2020519556743758,0.73,2.7,0.00255,1.3652577316551877,1.0955091714859009,0.5120292975191485,0.12181471418916133,0.12862615679439746,0.11951239642344023,0.11801743873378687
31,0.04034936179717382,0.18716838511458614,0.21086449110717104,0.033662736016724794,0.17328213581017085,0.1907616960150855,0.721,2.69,0.002535,1.3762636352003665,1.0980128049850464,0.5033840422044721,0.12424610476744802,0.13062063042531935,0.12133114118325083,0.12041807998167842
32,0.02719452784380369,0.1489196210576777,0.1648636800155305,0.021370781053389822,0.14320851543119975,0.17428271898201533,0.712,2.68,0.00252,1.3888742275405348,1.0998187065124512,0.49513127615577296,0.1263927053986934,0.13289583369828106,0.12322071299218294,0.12235946744157557
