epoch,train_mse,train_nrmse,train_rel_l2,val_mse,val_nrmse,val_rel_l2,lambda_prior,gate_temperature,entropy_reg,alpha_entropy,gamma,alpha_self_mean,alpha_lf1_mean,alpha_lf2_mean
1,4.024798368152819,1.6926690047247368,1.961565651391682,1.2817432028906686,0.9928080950464521,0.9183376090867179,0.991,2.99,0.0029850000000000002,1.0985791181263171,1.000125527381897,0.33615862591224804,0.3317971334122775,0.33204424904103863
2,0.904541718332391,0.872389344792617,0.9028113954945615,1.1256650686264038,0.9550596220152718,0.927704530102866,0.982,2.98,0.00297,1.0985358932562042,0.9997947216033936,0.3389495422965602,0.33023203098983095,0.3308184387391074
3,0.7464971364590159,0.7926132114310014,0.8250826032538163,0.6001430600881577,0.6994615537779671,0.6855407953262329,0.973,2.97,0.002955,1.0985965352309377,1.0017106533050537,0.3358916201089558,0.3319951081485079,0.3321132654683632
4,0.31739227421451033,0.5348872955431018,0.5899804391359028,0.27370057946869303,0.46908049072538105,0.46683499217033386,0.964,2.96,0.00294,1.0982605030662136,1.002128005027771,0.3450472370574349,0.3275502470501682,0.32740250491259393
5,0.16781368276529146,0.38268908074027613,0.41072718982110945,0.1935903408697673,0.41572130577904837,0.4437867445605142,0.955,2.95,0.002925,1.0952872958099633,1.0022162199020386,0.3704885578992074,0.31506206278215376,0.3144493772272478
6,0.11129622135246009,0.3164504805677815,0.3473361845602069,0.17006839598928178,0.3559979668685368,0.3361484706401825,0.946,2.94,0.0029100000000000003,1.094181964271947,1.0028917789459229,0.3777102681628445,0.3116784273532399,0.3106113044839156
7,0.06771862572222426,0.2420286319234915,0.2667772759471023,0.1093558913895062,0.322540602513722,0.367416826742036,0.9369999999999999,2.93,0.002895,1.0944468389477646,1.0032689571380615,0.3758190891198945,0.31278064480999057,0.31140026607011495
8,0.12673097443685197,0.3285961859581763,0.37495789140985725,0.2472108735569886,0.4246374730552946,0.38363383071763174,0.9279999999999999,2.92,0.00288,1.0908518025749607,1.0032391548156738,0.3913304037169406,0.30490159256416455,0.3037679958761784
9,0.07909537302820306,0.262834919649258,0.2980525870072214,0.1070277573806899,0.3140458720070975,0.3558972307613918,0.919,2.91,0.002865,1.0877142579931962,1.0042085647583008,0.40211710072400275,0.2996007517764443,0.29828215586511714
10,0.06326298101952202,0.23209823406579203,0.2768720017190565,0.05278111382254532,0.21348068650279725,0.22636393457651138,0.91,2.9,0.00285,1.0838963818131833,1.0057388544082642,0.4129189493363364,0.2943500447691533,0.29273100380311934
11,0.0324435258578313,0.17269412990201982,0.1995334674914678,0.04016516836626189,0.19703012704849243,0.2525528445839882,0.901,2.89,0.002835,1.0765333092003537,1.008035659790039,0.43120625876543817,0.28513308888987493,0.2836606580960123
12,0.04198121253335685,0.19477007315869918,0.21811703945461072,0.07739894185215235,0.23962507503373282,0.22735911394868577,0.892,2.88,0.00282,1.0734305444516634,1.009607195854187,0.43708891147061396,0.28223106108213725,0.2806800190816846
13,0.04615265823769988,0.20513292990232768,0.23882863396092466,0.046183474894080846,0.207149971808706,0.22978763495172774,0.883,2.87,0.002805,1.0824853871998035,1.0109353065490723,0.41635646318134506,0.29268347589593185,0.29096006510550515
14,0.03833064776763581,0.18924082841789513,0.2163769992297156,0.04368388892284462,0.19776806767497743,0.20989708602428436,0.874,2.86,0.00279,1.0828143651025337,1.013297438621521,0.41646614304760043,0.29270245526966293,0.2908314011598888
15,0.027055733788170312,0.15897121816350704,0.18376231402681584,0.0551584820662226,0.2283748665026256,0.2769824756043298,0.865,2.85,0.002775,1.081064784735964,1.0147799253463745,0.42103754846673264,0.2906854173593354,0.2882770284226066
16,0.04045442583268149,0.19149642137058995,0.2188449836613839,0.03722285379522613,0.1778048255613872,0.18687251955270767,0.856,2.84,0.00276,1.078811808636314,1.01632559299469,0.4269024740185654,0.28800473244566666,0.28509279719570224
17,0.02218940455401153,0.1411087039792747,0.1602778706634254,0.07623961847275496,0.24793185187237604,0.23984518221446446,0.847,2.83,0.002745,1.0742993773075573,1.0182136297225952,0.4368998188721506,0.2831784403114988,0.27992173977065504
18,0.04346813928139837,0.19085556059552913,0.21720644073528156,0.05247356004214713,0.20718530352626527,0.22561798351151602,0.838,2.82,0.0027300000000000002,1.0678518278556957,1.0199624300003052,0.44954441618501095,0.27689857179658456,0.27355701254125225
19,0.05093680217600705,0.20012247614693224,0.21792218690378623,0.03167578411687698,0.16662322410515376,0.17175279344831193,0.829,2.81,0.002715,1.0719752437190007,1.0213676691055298,0.43986250852283676,0.28215836798935606,0.27797911930502506
20,0.024220890251168033,0.14866040045754952,0.17337119448603244,0.02626176817076547,0.16104315859930857,0.20270059257745743,0.82,2.8,0.0027,1.0703455648924176,1.0227662324905396,0.4431965847810109,0.2807644684063761,0.276038946812613
21,0.02730917953477617,0.1548206931666324,0.17537893328750342,0.03394036779978445,0.17342582664319448,0.19462455064058304,0.8109999999999999,2.79,0.002685,1.0727552112780119,1.024948000907898,0.4377891044867666,0.28348416508289803,0.2787267367045085
22,0.0378039243320624,0.1734539056033419,0.20433971311962396,0.0701288723253778,0.23530954548290797,0.24098275814737594,0.802,2.78,0.00267,1.0653392181061863,1.0261719226837158,0.45306459069252014,0.27606211994823654,0.27087328308507014
23,0.02135297590703295,0.1357414534217433,0.15315698740775124,0.05077392102352211,0.22060208235468184,0.2806185930967331,0.7929999999999999,2.77,0.0026550000000000002,1.0690570505041825,1.0269798040390015,0.4461468709142585,0.2793977793894316,0.27445535387909203
24,0.03867046057916524,0.1881843418405767,0.2159036627986975,0.02271474645073925,0.14681639415877207,0.1638623880488532,0.784,2.76,0.00264,1.0707651523121617,1.0282940864562988,0.44170848005696345,0.2817236655636838,0.2765678522879617
25,0.01725836348997658,0.1257017735849347,0.14107336090844974,0.02175638106252466,0.13152539783290454,0.12915654693331038,0.775,2.75,0.002625,1.0581555073721367,1.0298213958740234,0.467385087619748,0.2693488843608321,0.2632660363849841
26,0.02389490466336148,0.1458775555355507,0.16767262314495288,0.03971687398318734,0.1891927495598793,0.2082267552614212,0.766,2.74,0.00261,1.0719338948266548,1.0311700105667114,0.44068328434960885,0.2827794802816291,0.27653722909458894
27,0.022376343828478928,0.13922503760509325,0.15957759242308767,0.021751676087400744,0.13370715879968234,0.13594194395201548,0.757,2.73,0.002595,1.0605845765063637,1.031819462776184,0.4622834737886462,0.2723198757882704,0.2653966546058655
28,0.014940410231550535,0.1134569854067083,0.1264744283337342,0.045060756749340465,0.20055945217609406,0.21579874839101518,0.748,2.7199999999999998,0.00258,1.0640211000777127,1.0329877138137817,0.45604646937888965,0.2756656826588145,0.2682878521450779
29,0.03497797074286561,0.17660344431274816,0.2050407995518885,0.025086816599858657,0.14321920488561904,0.1407137726034437,0.739,2.71,0.002565,1.062539117378101,1.0341830253601074,0.45856964379026177,0.27461490767043933,0.2668154375594959
30,0.02377602869742795,0.14347427482144876,0.16513072738521978,0.021542065643838475,0.140248997935227,0.15090756118297577,0.73,2.7,0.00255,1.0635399065519635,1.0348756313323975,0.45594362522426407,0.2759646558970736,0.2680917267213788
31,0.014456094618429217,0.11370413907264408,0.12810540329991726,0.012247827369719744,0.10588377448064941,0.11841682663985661,0.721,2.69,0.002535,1.0566106574577199,1.036226749420166,0.467028840592033,0.27089141544542816,0.2620797418711478
32,0.01264720233647447,0.1055518482860766,0.11968966978683807,0.03657906096694725,0.1700174297605242,0.16458926456315176,0.712,2.68,0.00252,1.0669198705438983,1.0369822978973389,0.4482296156255822,0.2801369700515479,0.2716334122314788
33,0.02532909725580299,0.14282327811968953,0.1591996221165908,0.016845330595970154,0.12482281029224396,0.1372086246098791,0.703,2.67,0.0025050000000000003,1.0585838179839284,1.0375518798828125,0.4624578848219754,0.27323589513176366,0.264306224229043
34,0.014303306607823623,0.1124037692421361,0.12809839269571138,0.026464363959218775,0.15172579352344787,0.17056358286312648,0.694,2.66,0.00249,1.0617285339455855,1.03862464427948,0.4567602140861645,0.27619019725866484,0.2670495823809975
35,0.01590237361297273,0.11610541466558189,0.13845765590667725,0.013196658975045596,0.10638122686317988,0.11185878728117261,0.685,2.65,0.002475,1.0661936893797757,1.0400887727737427,0.44881555438041687,0.2799287276309833,0.2712557179885998
36,0.011257080491959002,0.10051490405672475,0.11345805959743366,0.011151852352278573,0.10433659383228847,0.12337873769657952,0.6759999999999999,2.64,0.00246,1.0569246400866592,1.0410008430480957,0.46653092796342416,0.2716311362751743,0.26183792739583733
37,0.007669020395137761,0.08303763155351605,0.09511038608718336,0.0074256166616188625,0.08300600945949554,0.0926470820392881,0.667,2.63,0.002445,1.0637544853645458,1.0417454242706299,0.4537263894290255,0.2782234925972788,0.2680501184965435
38,0.007680041307027926,0.08498894266392056,0.09878738747354139,0.01849795731582812,0.12499154518757548,0.1332905473453658,0.6579999999999999,2.62,0.00243,1.0526250747212194,1.0430200099945068,0.4733084095151801,0.26895265725621004,0.25773893166006656
