epoch,train_mse,train_nrmse,train_rel_l2,val_mse,val_nrmse,val_rel_l2,lambda_prior,gate_temperature,entropy_reg,alpha_entropy,gamma,alpha_self_mean,alpha_lf1_mean
1,2.392191343140184,1.434700466038888,1.6336797664040013,1.992337235382625,1.3652598687580653,1.4955120767865862,0.991,2.99,0.0029850000000000002,0.6931342754447669,0.9992157220840454,0.49889891294010896,0.5011010912426731
2,1.2382075608822338,1.0637749370775724,1.1659020917457448,1.238070330449513,0.9683251849242619,0.8734143887247358,0.982,2.98,0.00297,0.6928798148506566,1.0005533695220947,0.4930569074655834,0.5069431035142196
3,0.8317830928584986,0.8392633732996488,0.8729403813680013,0.7178808833871569,0.744439708335059,0.6853162561144147,0.973,2.97,0.002955,0.6930243592513236,1.0003371238708496,0.4966457433867873,0.5033542743900365
4,0.3190234290403232,0.5263832582716357,0.5692469341713086,0.3144527407629149,0.4904434595789228,0.45774910279682707,0.964,2.96,0.00294,0.6931345734679908,0.9999833703041077,0.49983746702210946,0.5001625418663025
5,0.23401532727375365,0.4541747800090857,0.5048274857956067,0.3194445792053427,0.5053557710988181,0.47825823937143597,0.955,2.95,0.002925,0.6929358306683993,1.0005239248275757,0.5085631138400027,0.4914368809315196
6,0.1980062094762137,0.40460707534823503,0.43507800761022064,0.17846284780119145,0.3705493382045201,0.35962547787598204,0.946,2.94,0.0029100000000000003,0.6926721083490472,1.0039868354797363,0.5149141633719728,0.48508583924226595
7,0.07720170300780681,0.26274153224208896,0.295089884808189,0.17251712988529885,0.3843953715903418,0.3972816254411425,0.9369999999999999,2.93,0.002895,0.692469642873396,1.0087844133377075,0.5177196483863028,0.4822803537050883
8,0.10952831948535484,0.309078140739809,0.3672815634493242,0.09681497088500432,0.2979033759662083,0.3467823841742107,0.9279999999999999,2.92,0.00288,0.6920747150454605,1.0133920907974243,0.5225451149438557,0.47745488087336224
9,0.058519453594559116,0.23035551084761033,0.26195006516941804,0.0690392819898469,0.2525972234351294,0.2741611876658031,0.919,2.91,0.002865,0.69251731404087,1.017999529838562,0.5171025050313849,0.4828974923543763
10,0.043592597308911775,0.20021117308683561,0.2298300726371899,0.03659546122487102,0.18521392451865332,0.2060581339257104,0.91,2.9,0.00285,0.6924858061890853,1.0245780944824219,0.5173329679589522,0.4826670461579373
11,0.06925961283738152,0.23747585164873222,0.2618620055809356,0.02475238697869437,0.15216997691563197,0.1741336179631097,0.901,2.89,0.002835,0.6924193679240712,1.0290523767471313,0.5181036622900712,0.48189635444105716
12,0.03656337426550556,0.1806051593862082,0.20598529671367846,0.025545939803123474,0.15595694524901255,0.18439969739743642,0.892,2.88,0.00282,0.6924272691994383,1.0342352390289307,0.5180943336403161,0.4819056579941197
13,0.02448243801400327,0.1483941097792826,0.16748503451807456,0.07245145032980613,0.24891321254628046,0.2558335619313376,0.883,2.87,0.002805,0.6922323379600257,1.038157343864441,0.5204801789501257,0.4795198288925907
14,0.043580405316070506,0.19672568220841258,0.22380118072032928,0.06122731816555772,0.23664778470993042,0.2812365676675524,0.874,2.86,0.00279,0.6922083591160021,1.0413738489151,0.5204575281394156,0.4795424697691934
15,0.03678196237275475,0.18068858327572807,0.20790051368244908,0.03405759909323284,0.17039367024387633,0.17879355805260794,0.865,2.85,0.002775,0.6923482062523825,1.0446261167526245,0.5194140066180313,0.48058599442766425
16,0.026356601336023265,0.15214654907845615,0.17636682511421672,0.02019014981176172,0.1341122261115483,0.1506274619272777,0.856,2.84,0.00276,0.6923144846631769,1.047615885734558,0.51985694441879,0.48014306917525174
17,0.01671078650836359,0.12426466115734033,0.1446201518962258,0.07989198169005769,0.24846284517220088,0.23082278243133,0.847,2.83,0.002745,0.6923616528511047,1.0500189065933228,0.519210376237568,0.48078961748825877
18,0.032942972391059526,0.16900984550777234,0.19374797480148181,0.051478072202631404,0.2062304796917098,0.20504242607525416,0.838,2.82,0.0027300000000000002,0.6923052783597979,1.0532712936401367,0.5196105890106737,0.4803894115121741
19,0.02755534380935786,0.16025262757351524,0.1834609900650225,0.05144687050155231,0.2198711165360042,0.23977924244744436,0.829,2.81,0.002715,0.6923966596001073,1.0561076402664185,0.5185109732443827,0.4814890183900532
20,0.021975365957539333,0.13912294308344522,0.16037642302220328,0.02892407781577536,0.16392228645937784,0.202083486531462,0.82,2.8,0.0027,0.6924385041521307,1.0598257780075073,0.5179425613921985,0.48205744592767014
21,0.019815568697818538,0.13361662495554538,0.15586393705585547,0.06628052444596376,0.22371244536978857,0.20323742500373296,0.8109999999999999,2.79,0.002685,0.6923343309184962,1.063194751739502,0.519121880071205,0.48087812306588157
22,0.030451498925685883,0.1638779138263903,0.1847665184422543,0.02131491620093584,0.14371270686388016,0.17178840190172195,0.802,2.78,0.00267,0.6924195498750921,1.0672746896743774,0.5181689084621898,0.4818311004262221
23,0.015328607897748026,0.1189624217518589,0.14175108807128772,0.014262916254145759,0.11571006370442254,0.12842344173363276,0.7929999999999999,2.77,0.0026550000000000002,0.6923430781615408,1.0722384452819824,0.5193349760875368,0.4806650197296812
24,0.01815931188563506,0.12799118772933357,0.14684573861590602,0.026659247864569937,0.16060059730495727,0.18337017404181616,0.784,2.76,0.00264,0.6922187606493632,1.0753579139709473,0.5207773216983729,0.47922269189566896
25,0.011194224877838502,0.10167735200702098,0.11886635644916903,0.014423891635877746,0.11988477728196553,0.1479831731745175,0.775,2.75,0.002625,0.6923233772578993,1.076979398727417,0.5193531743267126,0.4806468361302426
26,0.014009861340909674,0.11188274883387382,0.12731760139005227,0.013961817537035261,0.10950924775430135,0.1252217542912279,0.766,2.74,0.00261,0.6923667317942569,1.0792934894561768,0.5186340495159751,0.4813659551896547
27,0.014941469357724776,0.11577467476589638,0.13186599804382576,0.016286598618275354,0.11800564080476761,0.12525362521409988,0.757,2.73,0.002595,0.692474437387366,1.0832010507583618,0.5173030547928392,0.4826969561869638
28,0.01055705999922857,0.09931106394843052,0.11353088209503576,0.011598595950220312,0.10599236828940255,0.12676580250263214,0.748,2.7199999999999998,0.00258,0.6924210556766444,1.084642767906189,0.5179745586294877,0.4820254413705123
29,0.01063991521011319,0.09889123889437892,0.11311219789479908,0.01391008369890707,0.11550490025963102,0.1374368965625763,0.739,2.71,0.002565,0.6921916332161218,1.0859307050704956,0.5207200688228273,0.4792799332685638
30,0.008822184513535416,0.08955462917424085,0.10181388272005215,0.014150479010173253,0.10779310390353203,0.11098198273352214,0.73,2.7,0.00255,0.6921970718785336,1.0892376899719238,0.520644185835855,0.47935581468699273
31,0.013044253351134166,0.10839250134794336,0.12578177582799344,0.012752074748277664,0.11151712174926486,0.13428729719349317,0.721,2.69,0.002535,0.6925040065196523,1.0908313989639282,0.5166753875581842,0.4833246223759233
32,0.013050588174608716,0.10724448242731262,0.12098840088175054,0.04939862367297922,0.21354690619877406,0.2296469999211175,0.712,2.68,0.00252,0.6923205444687291,1.0927151441574097,0.5191369046244705,0.48086308962420415
33,0.013878265265048597,0.10650685442644253,0.12172030618316249,0.010896278811352593,0.10218456174646105,0.1305619478225708,0.703,2.67,0.0025050000000000003,0.6924156776645727,1.0943244695663452,0.5176144712849667,0.48238553185211985
34,0.009692412000476268,0.09118719568900895,0.10048646898123256,0.013375673542863556,0.0990993401833943,0.09578500049454826,0.694,2.66,0.00249,0.692441721757253,1.0966123342514038,0.5173284840165523,0.48267150552649246
35,0.006727762446787797,0.07791735820080105,0.0880789956764171,0.011878527800685592,0.09917661388005529,0.10141107599650111,0.685,2.65,0.002475,0.6924570077343991,1.0975141525268555,0.5168539442514118,0.4831460536571971
36,0.008266430740293703,0.08735007374433049,0.1013810624156082,0.010526788354452168,0.09990087045090539,0.13221426361373492,0.6759999999999999,2.64,0.00246,0.6924370370413128,1.0975040197372437,0.5172028802988822,0.4827971102898581
37,0.009311998393713381,0.08983295240945983,0.10340878968698937,0.017725091161472455,0.12688578984567098,0.15196200087666512,0.667,2.63,0.002445,0.6922780526311774,1.0997343063354492,0.5191224457924826,0.48087755629890844
38,0.013325769552274755,0.10346887312960207,0.11429813752571742,0.0085075453389436,0.08750307081001145,0.09742896897452218,0.6579999999999999,2.62,0.00243,0.6922311709638227,1.1010380983352661,0.5193134828617698,0.48068651922962125
39,0.009706903902585046,0.092209031968786,0.10679627236044198,0.01462435323212828,0.11602804596935,0.13547332052673614,0.649,2.61,0.002415,0.6922484353968972,1.1019924879074097,0.5190495451291403,0.48095044441390455
40,0.02314019144365662,0.13613354297060715,0.15337697664896646,0.031086099866245474,0.16721113558326448,0.1780568180339677,0.6399999999999999,2.6,0.0024000000000000002,0.6922524811928732,1.1028063297271729,0.5193627382579603,0.48063726801621287
41,0.011680868576819959,0.10177561523098695,0.11541398993709631,0.012529514729976654,0.10877604250397001,0.13186952152422496,0.631,2.59,0.002385,0.6922835122074997,1.1040185689926147,0.5186001585240949,0.48139985297855575
42,0.007673253182713923,0.08200360710422198,0.0927808557293917,0.008877837331965566,0.08789954387715884,0.10228980439049858,0.622,2.58,0.00237,0.6923799828479165,1.1059129238128662,0.5174389868451837,0.4825610032207088
43,0.007001263963614116,0.07935478302993272,0.09138391885841102,0.0187473487375038,0.12447241427642959,0.12366363831928798,0.613,2.57,0.0023550000000000003,0.6923250315482157,1.1055902242660522,0.5177628774391977,0.48223713720053957
44,0.018548196304197375,0.1258965363366562,0.1473818127261965,0.018503596873155663,0.13459111005067825,0.16741650977305003,0.604,2.56,0.00234,0.6922438144683838,1.1067500114440918,0.5189831350979052,0.48101687065342014
45,0.014445535871281959,0.1144573756477289,0.1349152789304131,0.014758299620422934,0.10668694281152316,0.1037639815892492,0.595,2.55,0.002325,0.6920791414746067,1.1085354089736938,0.520679235458374,0.4793207603588439
46,0.008414796537213158,0.08701603428313606,0.10139409256608863,0.01904955679284675,0.12627120528902328,0.12432872716869627,0.586,2.54,0.00231,0.6921131631784272,1.1088448762893677,0.5199529246280068,0.4800470879203395
47,0.01057768227499828,0.0925576200610713,0.0992493398095432,0.004885030877111214,0.06667179348213333,0.073347591395889,0.577,2.5300000000000002,0.002295,0.6921748508486831,1.1103935241699219,0.5194863488799647,0.4805136448458621
48,0.005637664568463438,0.07139715362797704,0.08425401477960118,0.0043726727931893295,0.061030372977256775,0.06437342880027634,0.5680000000000001,2.52,0.00228,0.692231555779775,1.1110129356384277,0.5187193489911264,0.4812806562373513
49,0.005145197011236297,0.06801125132723858,0.08010368349782207,0.005317076076088207,0.06799077934452466,0.07060604436056954,0.5589999999999999,2.51,0.002265,0.6920753759250307,1.1122264862060547,0.520524565587964,0.47947541977229874
50,0.00383563413235702,0.05938606709241867,0.06837433589655056,0.0049890808295458555,0.06522194562213761,0.07002217801553863,0.55,2.5,0.0022500000000000003,0.6921626664044565,1.113796353340149,0.5191849240085535,0.48081508749409724
51,0.006668403548629661,0.07106376975251917,0.07872073378479272,0.024006047951323644,0.15006549656391144,0.16620216412203653,0.5409999999999999,2.49,0.002235,0.6921922031201815,1.1146312952041626,0.5188906015011302,0.4811093838591325
52,0.011896559935912751,0.10373697390681819,0.1214720425114297,0.004674076767904418,0.06627972743340901,0.07548870252711433,0.532,2.48,0.0022199999999999998,0.6922058473553574,1.1151736974716187,0.5184518820361087,0.48154812214667336
