epoch,train_mse,train_nrmse,train_rel_l2,val_mse,val_nrmse,val_rel_l2,lambda_prior,gate_temperature,entropy_reg,alpha_entropy,gamma,alpha_self_mean,alpha_lf1_mean
1,0.5108489711080293,0.4780256225768958,0.49234035442887636,0.07984653151892487,0.25707212018156517,0.27931207635448974,0.991,2.99,0.0029850000000000002,0.6931011527938511,1.0241707563400269,0.49644387855591915,0.5035561254565543
2,0.05780191406462014,0.20150858455061524,0.20690615272936164,0.007560705129753401,0.0801988047665184,0.08618423747784883,0.982,2.98,0.00297,0.6931397439861401,1.0301326513290405,0.4996174117641263,0.5003825877181353
3,0.017190319368662263,0.11465361881819144,0.11823923375364494,0.009238021751160471,0.09294540377207172,0.09976971706429731,0.973,2.97,0.002955,0.6931214056884816,1.036643385887146,0.49740448649103036,0.5025955184922026
4,0.010254168803586212,0.09033642988348628,0.09237855338733178,0.003505594611339705,0.0583057621656691,0.06491405650683978,0.964,2.96,0.00294,0.6930308791118129,1.0434048175811768,0.49376077527720297,0.506239228864705
5,0.009815231508633018,0.08513022833842537,0.08635858838303857,0.010473982011673303,0.0813405581397339,0.07942009073437996,0.955,2.95,0.002925,0.6930605316136222,1.0498781204223633,0.4947531617425552,0.5052468418816143
6,0.005138060936034858,0.06281075912985817,0.0640606480073204,0.003017535169825898,0.0543247539803241,0.05963785874033437,0.946,2.94,0.0029100000000000003,0.693045131417232,1.055899977684021,0.49420683372292534,0.5057931690599191
7,0.004136701631582222,0.05777538156422031,0.05960974890847936,0.00496047988163253,0.06957915483169186,0.07745997904284486,0.9369999999999999,2.93,0.002895,0.6929873760696602,1.0606119632720947,0.4924402847222733,0.5075597181252884
8,0.003154677204533918,0.050096897685437194,0.05134218067221999,0.004482744027661539,0.06455797380180035,0.07122667575056113,0.9279999999999999,2.92,0.00288,0.6929652545920671,1.0660719871520996,0.49202366634378214,0.5079763382187884
9,0.004427615106313102,0.058502247999953134,0.06026196536425012,0.002915708379801905,0.05207890261290143,0.05696518077216681,0.919,2.91,0.002865,0.6929269788319591,1.069978952407837,0.4912471021166583,0.5087528973008859
10,0.0037731976800949095,0.05364049298043619,0.05513093002488378,0.007217141601835712,0.0740680909417208,0.07402156571884758,0.91,2.9,0.00285,0.6929001131223416,1.0754828453063965,0.49059736550695604,0.5094026334899256
11,0.0030401210053131213,0.04699959139967586,0.04853967386100696,0.0010961098234774998,0.03213742590572649,0.03527698947966677,0.901,2.89,0.002835,0.6928769202496408,1.0804318189620972,0.490347627805188,0.5096523746217113
