epoch,train_mse,train_nrmse,train_rel_l2,val_mse,val_nrmse,val_rel_l2,lambda_prior,gate_temperature,entropy_reg,alpha_entropy,gamma,alpha_self_mean,alpha_lf1_mean,alpha_lf2_mean,alpha_lf3_mean,alpha_lf4_mean
1,2.392238509759568,1.3769056085954632,1.472415763035155,0.769252244915281,0.8156688128198896,0.9568930012839181,0.991,2.99,0.0029850000000000002,1.6094050281926204,0.998793363571167,0.20164962478897028,0.1993398682067269,0.19984988371531168,0.1996273194488726,0.19953325181676632
2,1.0865049644520408,0.9631258458421942,1.0062096641774763,1.2630261097635542,1.12180472271783,1.4506775311061315,0.982,2.98,0.00297,1.6093757905458148,1.0010871887207031,0.19754228597147422,0.2002129518149192,0.2004305432763016,0.2009874749601933,0.20082671835757138
3,0.8665845875154462,0.8555343804652231,0.8905372556887174,0.869026677949088,0.8884913921356201,1.067270474774497,0.973,2.97,0.002955,1.6092244784037273,1.0026675462722778,0.20805337894381137,0.1978707036428284,0.19773977733494943,0.19804099777288603,0.19829515642241427
4,0.594636351915828,0.7069451056028667,0.750619316833061,0.2892500183412007,0.5283378277506147,0.6619724461010524,0.964,2.96,0.00294,1.6062506039937336,1.0040416717529297,0.2307709272493396,0.19192829780411302,0.19183984712550514,0.1924443945550082,0.19301653614169673
5,0.22249135636446768,0.4416094610565587,0.4744158104846352,0.11427871244294303,0.32822640027318684,0.4052793298448835,0.955,2.95,0.002925,1.5706066185967964,1.0073455572128296,0.30737383166948956,0.17231691066633192,0.1724112948827576,0.17328776863583348,0.1746101920541964
6,0.28576076239870307,0.5019910168229488,0.5470047948653238,0.28174012367214474,0.4747672123568399,0.5466249372277941,0.946,2.94,0.0029100000000000003,1.5089534040082966,1.0116814374923706,0.39491096086669386,0.15042461899288914,0.1507233023120646,0.15118928253650665,0.15275183424615024
7,0.1735929018703469,0.3828575017682293,0.40696175893147785,0.09323878107326371,0.2939436116388866,0.3578416662556784,0.9369999999999999,2.93,0.002895,1.562755683012176,1.016432285308838,0.32960339910105657,0.16705032607965303,0.1673187673614736,0.1673059405987723,0.1687215629376863
8,0.08125490041678413,0.27197519781296714,0.3060852451282635,0.14701062334435328,0.35562177428177427,0.42017937132290434,0.9279999999999999,2.92,0.00288,1.5462529575615598,1.0208797454833984,0.3525587827490087,0.16148573839873598,0.16149346295155978,0.16144262280380517,0.1630193951882814
9,0.11555845460347962,0.3149435467887343,0.34932655514332284,0.05437485820480755,0.22342707642487117,0.2738132221358163,0.919,2.91,0.002865,1.533400391277514,1.0252717733383179,0.3683702224179318,0.15788260729689346,0.15758888057449408,0.15738812716383682,0.15877015679551845
10,0.09373047255110323,0.2845111321984676,0.31714516146141186,0.13893570857388632,0.3571946365492685,0.44611683913639616,0.91,2.9,0.00285,1.5235505438687509,1.0293461084365845,0.3795381617127803,0.15533282464010673,0.1547461384743975,0.15459293702192473,0.1557899446863877
11,0.09044322815903447,0.2821280171996669,0.31036107974094257,0.038733973700021,0.1897554642387799,0.2349201419523784,0.901,2.89,0.002835,1.514060053909034,1.0328788757324219,0.38979961370166977,0.15291351707358108,0.15227927659687243,0.15195503360346743,0.15305256268434358
12,0.04700015269612011,0.21122355654574276,0.244038160432849,0.047397131366389136,0.2151219972542354,0.28464412476335255,0.892,2.88,0.00282,1.5201310023926853,1.0374853610992432,0.38302285420267207,0.15493732220248171,0.15399634785819472,0.15362522110604404,0.1544182595976612
13,0.06044306318488037,0.2340608605167322,0.26473593920992133,0.058035516047051976,0.23736476472445897,0.3153502494096756,0.883,2.87,0.002805,1.5087831354977792,1.0411618947982788,0.39488810614535685,0.15190314357740836,0.15113755380898192,0.15072086479580193,0.1513503246140062
14,0.05126239529304337,0.21133073772254743,0.23205950019652383,0.03754066808947495,0.18994283463273728,0.24446086372647965,0.874,2.86,0.00279,1.5001595731367146,1.0446573495864868,0.4032838825593915,0.1499439425635756,0.14910965504353507,0.1485084190703275,0.1491540999788987
15,0.045750492889630165,0.20565842327318692,0.23614746698162012,0.04881618597677776,0.2148416947041239,0.2771944446223123,0.865,2.85,0.002775,1.508072016531961,1.0487009286880493,0.3954250577249025,0.15214185129132188,0.15116842117225915,0.150420844816325,0.15084381741389893
16,0.03804035628573936,0.18261407211161496,0.2036179693644507,0.03835955262184143,0.19025372181619918,0.24135903801236833,0.856,2.84,0.00276,1.4874692130507083,1.0527935028076172,0.41559657559060215,0.14694875531029283,0.14609623112176595,0.145475963751475,0.14588247213447303
