baseline_id,model,split,query_row,relative_l2
B7,mfrnp,calibration,2,0.19514439405710968
B7,mfrnp,calibration,3,0.1792409248016225
B7,mfrnp,calibration,4,0.18097873842484402
B7,mfrnp,calibration,5,0.16282974122806876
B7,mfrnp,calibration,6,0.18395971578624631
B7,mfrnp,calibration,7,0.16139947533017748
B7,mfrnp,calibration,8,0.1836244635476692
B7,mfrnp,calibration,9,0.17037391556001064
B7,mfrnp,evaluation,10,0.20108264157881622
B7,mfrnp,evaluation,11,0.19984505112045337
B7,mfrnp,evaluation,12,0.1861716113664566
B7,mfrnp,evaluation,13,0.20758321477083058
B7,mfrnp,evaluation,14,0.19782403034380636
B7,mfrnp,evaluation,15,0.19585155690741748
B7,mfrnp,evaluation,16,0.17604791152647106
B8,fno_coregionalization,calibration,0,0.04524353416975635
B8,fno_coregionalization,calibration,1,0.04649719336840924
B8,fno_coregionalization,calibration,2,0.051489150642962805
B8,fno_coregionalization,calibration,3,0.045778983729580926
B8,fno_coregionalization,calibration,4,0.04534401268149898
B8,fno_coregionalization,calibration,5,0.053321852955208804
B8,fno_coregionalization,calibration,6,0.04898720331208751
B8,fno_coregionalization,calibration,7,0.0565793786678397
B8,fno_coregionalization,calibration,8,0.043506553558544554
B8,fno_coregionalization,calibration,9,0.04779099544450692
B8,fno_coregionalization,evaluation,10,0.05249851421724058
B8,fno_coregionalization,evaluation,11,0.05911902279723201
B8,fno_coregionalization,evaluation,12,0.04480768337322396
B8,fno_coregionalization,evaluation,13,0.05092902539542455
B8,fno_coregionalization,evaluation,14,0.04803406187945036
B8,fno_coregionalization,evaluation,15,0.055524996885610585
B8,fno_coregionalization,evaluation,16,0.04960442978428903
B9,mf_fno_transfer,calibration,0,0.05471911174926743
B9,mf_fno_transfer,calibration,1,0.07732560408845504
B9,mf_fno_transfer,calibration,2,0.08238937366180177
B9,mf_fno_transfer,calibration,3,0.08228514376580302
B9,mf_fno_transfer,calibration,4,0.088444011560164
B9,mf_fno_transfer,calibration,5,0.08280582842471369
B9,mf_fno_transfer,calibration,6,0.08437118590958279
B9,mf_fno_transfer,calibration,7,0.08902458562664876
B9,mf_fno_transfer,calibration,8,0.09327506134008129
B9,mf_fno_transfer,calibration,9,0.09068573251888383
B9,mf_fno_transfer,evaluation,10,0.13303806670538962
B9,mf_fno_transfer,evaluation,11,0.12024031063851075
B9,mf_fno_transfer,evaluation,12,0.11793250353826458
B9,mf_fno_transfer,evaluation,13,0.1343451849224354
B9,mf_fno_transfer,evaluation,14,0.11795934236162799
