dataset,pde_class,method,relative_l2,error_percent,ratio_to_calibrated_single
darcy_generated,elliptic,mf_fno_transfer_film,0.03065522964109249,3.065522964109249,1.2155032002737405
darcy_generated,elliptic,mf_fno_allpairs,0.034407136731107034,3.4407136731107033,1.3642691735982153
darcy_generated,elliptic,convnext_unet_film,0.02781248127444652,2.781248127444652,1.1027860626862505
darcy_generated,elliptic,fno_fire_distcond,0.04981640489872746,4.981640489872746,1.9752583911283896
darcy_generated,elliptic,wno_transfer_film,0.02318965202150478,2.318965202150478,0.9194873623647382
darcy_generated,elliptic,mf_deeponet,0.3168988495192297,31.68988495192297,12.565280712735277
darcy_generated,elliptic,st_hf_pod_gp,0.033687303882045536,3.3687303882045536,1.3357272529556259
darcy_generated,elliptic,uqcorr_transolver_pred,0.03411945790279235,3.4119457902792347,1.3528624889782843
darcy_generated,elliptic,uqcorr_convnext_pred,0.03411945790279235,3.4119457902792347,1.3528624889782843
darcy_generated,elliptic,single_l2,0.025220196568950786,2.5220196568950786,1.0
darcy_generated,elliptic,inverse_mse,0.02546625570753838,2.5466255707538377,1.0097564322274364
darcy_generated,elliptic,full,0.023329038774827216,2.3329038774827215,0.9250141532817464
ext__eikonal_2d,elliptic,mf_fno_transfer_film,0.024216171742368328,2.421617174236833,1.338788361464578
ext__eikonal_2d,elliptic,mf_fno_allpairs,0.021513039550523857,2.1513039550523856,1.1893459988796615
ext__eikonal_2d,elliptic,convnext_unet_film,0.018088125382175312,1.8088125382175313,1.0
ext__eikonal_2d,elliptic,fno_fire_distcond,0.04786532055938634,4.7865320559386335,2.6462289235652103
ext__eikonal_2d,elliptic,wno_transfer_film,0.025877918096911257,2.587791809691126,1.4306578238567655
ext__eikonal_2d,elliptic,mf_deeponet,0.07370716472546113,7.370716472546112,4.074892404167809
ext__eikonal_2d,elliptic,st_hf_pod_gp,0.03629317282058683,3.6293172820586834,2.0064640228749977
ext__eikonal_2d,elliptic,uqcorr_transolver_pred,0.03744928250160088,3.744928250160088,2.0703794180078354
ext__eikonal_2d,elliptic,uqcorr_convnext_pred,0.029508511803865056,2.9508511803865054,1.6313747931526283
ext__eikonal_2d,elliptic,single_l2,0.018088125382175312,1.8088125382175313,1.0
ext__eikonal_2d,elliptic,inverse_mse,0.017649336013445222,1.7649336013445223,0.9757415785517227
ext__eikonal_2d,elliptic,full,0.017639483903041684,1.7639483903041684,0.9751969057238107
sharp__helmholtz_2d,elliptic,mf_fno_transfer_film,0.03302680501707659,3.302680501707659,0.5287735843618989
sharp__helmholtz_2d,elliptic,mf_fno_allpairs,0.034775822177689215,3.4775822177689215,0.5567761135998746
sharp__helmholtz_2d,elliptic,convnext_unet_film,0.0479048623916116,4.79048623916116,0.7669777861370068
sharp__helmholtz_2d,elliptic,fno_fire_distcond,0.10922630954170691,10.92263095417069,1.748760958655485
sharp__helmholtz_2d,elliptic,wno_transfer_film,0.05042287712604526,5.0422877126045265,0.8072923026612098
sharp__helmholtz_2d,elliptic,mf_deeponet,0.29112143441846533,29.112143441846534,4.6609814144128
sharp__helmholtz_2d,elliptic,st_hf_pod_gp,0.07100625178547916,7.100625178547916,1.1368411279655397
