dataset,pde_class,calibration_budget,method,mean_relative_l2,error_percent,ratio_to_selected_single
sharp__porous_medium_2d,porous,5,inverse_mse,0.00026214808972888326,0.026214808972888325,0.8066761077137645
sharp__porous_medium_2d,porous,5,full,0.0002632087162040076,0.026320871620400758,0.8099398432518579
sharp__porous_medium_2d,porous,5,allpairs,0.00032497316732467565,0.032497316732467564,1.0
sharp__allen_cahn_2d,reaction_diffusion,5,single_l2,0.39417346627340194,39.417346627340194,1.0
sharp__allen_cahn_2d,reaction_diffusion,5,uniform,0.407606959086032,40.7606959086032,1.0340801549623142
sharp__allen_cahn_2d,reaction_diffusion,5,inverse_mse,0.3787855716595326,37.87855716595326,0.9609616173322123
sharp__allen_cahn_2d,reaction_diffusion,5,full,0.3462811793288634,34.62811793288634,0.8784994652295544
sharp__allen_cahn_2d,reaction_diffusion,5,allpairs,0.5266697905952337,52.666979059523364,1.3361370961228811
ext__cahn_hilliard_2d,reaction_diffusion,5,single_l2,0.12161374693260683,12.161374693260683,1.0
ext__cahn_hilliard_2d,reaction_diffusion,5,uniform,0.19160403636933473,19.160403636933474,1.575512976140054
ext__cahn_hilliard_2d,reaction_diffusion,5,inverse_mse,0.11264557666798082,11.264557666798082,0.9262569364827169
ext__cahn_hilliard_2d,reaction_diffusion,5,full,0.10661089946957066,10.661089946957066,0.876635266641771
ext__cahn_hilliard_2d,reaction_diffusion,5,allpairs,0.12524923572526062,12.524923572526061,1.0298937322823252
sharp__cahn_hilliard,reaction_diffusion,5,single_l2,0.5222532406307262,52.22532406307262,1.0
sharp__cahn_hilliard,reaction_diffusion,5,uniform,0.49325941623777664,49.325941623777666,0.9444832082651442
sharp__cahn_hilliard,reaction_diffusion,5,inverse_mse,0.4721388021768947,47.21388021768947,0.9040418813039662
sharp__cahn_hilliard,reaction_diffusion,5,full,0.4925896319920325,49.25896319920325,0.9432007188641492
sharp__cahn_hilliard,reaction_diffusion,5,allpairs,0.4831017654642436,48.31017654642436,0.9250335428858243
sharp__fisher_kpp_2d,reaction_diffusion,5,single_l2,0.023641621026666382,2.364162102666638,1.0
sharp__fisher_kpp_2d,reaction_diffusion,5,uniform,0.02994902248631114,2.994902248631114,1.266792258133669
sharp__fisher_kpp_2d,reaction_diffusion,5,inverse_mse,0.025308649246951826,2.5308649246951824,1.0705124330689986
sharp__fisher_kpp_2d,reaction_diffusion,5,full,0.022988763039458075,2.2988763039458076,0.9723852274566147
sharp__fisher_kpp_2d,reaction_diffusion,5,allpairs,0.032156423135862394,3.2156423135862395,1.3601615176722361
sharp__phase_field_crystal_2d,reaction_diffusion,5,single_l2,0.8353961504111579,83.5396150411158,1.0
sharp__phase_field_crystal_2d,reaction_diffusion,5,uniform,0.8680656003538658,86.80656003538658,1.0391065363739453
sharp__phase_field_crystal_2d,reaction_diffusion,5,inverse_mse,0.8375286589833296,83.75286589833296,1.0025526914040988
sharp__phase_field_crystal_2d,reaction_diffusion,5,full,0.8330263544351505,83.30263544351504,0.997163266822763
sharp__phase_field_crystal_2d,reaction_diffusion,5,allpairs,0.8950925641397319,89.50925641397319,1.07145880873307
sharp__shallow_water_2d,waves,5,single_l2,0.0036669248740744073,0.3666924874074407,1.0
sharp__shallow_water_2d,waves,5,uniform,0.004539056621395726,0.4539056621395726,1.2378373643505471
