dataset,model,proof,source,seed
sharp__phase_field_crystal_2d,mf_fno_transfer,verified completion on sealed query identities,four_dataset_completion/results/sharp__phase_field_crystal_2d.json,42
sharp__phase_field_crystal_2d,mf_fno_transfer_bar,verified completion on sealed query identities,four_dataset_completion/results/sharp__phase_field_crystal_2d.json,42
sharp__phase_field_crystal_2d,st_lf_affine_pod,verified completion on sealed query identities,four_dataset_completion/results/sharp__phase_field_crystal_2d.json,42
sharp__phase_field_crystal_2d,st_knn,verified completion on sealed query identities,four_dataset_completion/results/sharp__phase_field_crystal_2d.json,42
sharp__phase_field_crystal_2d,st_mean,verified completion on sealed query identities,four_dataset_completion/results/sharp__phase_field_crystal_2d.json,42
sharp__shallow_water_2d,mf_fno_transfer_bar,saved target rows and pre-export errors,baseline_raw/mf_fno_transfer_bar__sharp__shallow_water_2d__s42.json,42
sharp__shallow_water_2d,mf_fno_transfer,saved target rows and pre-export errors,baseline_raw/mf_fno_transfer__sharp__shallow_water_2d__s42.json,42
sharp__shallow_water_2d,st_dmfal,source HF file hash,baseline_raw/st_dmfal__sharp__shallow_water_2d__s42.json,42
sharp__shallow_water_2d,st_koh_pod,source HF file hash,baseline_raw/st_koh_pod__sharp__shallow_water_2d__s42.json,42
sharp__shallow_water_2d,st_nargp_pod,source HF file hash,baseline_raw/st_nargp_pod__sharp__shallow_water_2d__s42.json,42
sharp__shallow_water_2d,st_mfdnn,source HF file hash,baseline_raw/st_mfdnn__sharp__shallow_water_2d__s42.json,42
sharp__shallow_water_2d,st_mfdeeponet,source HF file hash,baseline_raw/st_mfdeeponet__sharp__shallow_water_2d__s42.json,42
sharp__shallow_water_2d,nomad_mf,saved target rows and pre-export errors,baseline_raw/nomad_mf__sharp__shallow_water_2d__s42.json,42
sharp__shallow_water_2d,fno_coregionalization,saved target rows and pre-export errors,baseline_raw/fno_coregionalization__sharp__shallow_water_2d__s42.json,42
sharp__shallow_water_2d,st_knn,source HF file hash,baseline_raw/st_knn__sharp__shallow_water_2d__s42.json,42
sharp__shallow_water_2d,st_lf_affine_pod,source HF file hash,baseline_raw/st_lf_affine_pod__sharp__shallow_water_2d__s42.json,42
sharp__shallow_water_2d,mfrnp,saved target rows and pre-export errors,baseline_raw/mfrnp__sharp__shallow_water_2d__s42.json,42
sharp__shallow_water_2d,st_mean,source HF file hash,baseline_raw/st_mean__sharp__shallow_water_2d__s42.json,42
ext__wave_2d,mf_fno_transfer_bar,saved target rows and pre-export errors,baseline_raw/mf_fno_transfer_bar__ext__wave_2d__s42.json,42
ext__wave_2d,mf_fno_transfer,saved target rows and pre-export errors,baseline_raw/mf_fno_transfer__ext__wave_2d__s42.json,42
ext__wave_2d,st_dmfal,source HF file hash,baseline_raw/st_dmfal__ext__wave_2d__s42.json,42
ext__wave_2d,st_koh_pod,source HF file hash,baseline_raw/st_koh_pod__ext__wave_2d__s42.json,42
ext__wave_2d,st_nargp_pod,source HF file hash,baseline_raw/st_nargp_pod__ext__wave_2d__s42.json,42
ext__wave_2d,st_mfdnn,source HF file hash,baseline_raw/st_mfdnn__ext__wave_2d__s42.json,42
ext__wave_2d,st_mfdeeponet,source HF file hash,baseline_raw/st_mfdeeponet__ext__wave_2d__s42.json,42
ext__wave_2d,nomad_mf,saved target rows and pre-export errors,baseline_raw/nomad_mf__ext__wave_2d__s42.json,42
ext__wave_2d,fno_coregionalization,saved target rows and pre-export errors,baseline_raw/fno_coregionalization__ext__wave_2d__s42.json,42
ext__wave_2d,st_knn,source HF file hash,baseline_raw/st_knn__ext__wave_2d__s42.json,42
ext__wave_2d,st_lf_affine_pod,source HF file hash,baseline_raw/st_lf_affine_pod__ext__wave_2d__s42.json,42
ext__wave_2d,mfrnp,saved target rows and pre-export errors,baseline_raw/mfrnp__ext__wave_2d__s42.json,42
ext__wave_2d,st_mean,source HF file hash,baseline_raw/st_mean__ext__wave_2d__s42.json,42
