seed,query_row,evaluation_case,method,relative_l2,error_percent
71,13,4,expert:wno_transfer_film,0.09203391737735964,9.203391737735963
71,14,5,expert:wno_transfer_film,0.09827532566526344,9.827532566526344
71,15,6,expert:wno_transfer_film,0.09250297052813221,9.25029705281322
71,16,7,expert:wno_transfer_film,0.10381717451032267,10.381717451032268
71,10,1,expert:mf_deeponet,0.09817938296530247,9.817938296530247
71,11,2,expert:mf_deeponet,0.099047168912697,9.9047168912697
71,12,3,expert:mf_deeponet,0.09106206829353075,9.106206829353075
71,13,4,expert:mf_deeponet,0.10009503548535714,10.009503548535715
71,14,5,expert:mf_deeponet,0.09233635430592572,9.233635430592573
71,15,6,expert:mf_deeponet,0.0979037526715336,9.79037526715336
71,16,7,expert:mf_deeponet,0.08892587176394674,8.892587176394674
71,10,1,expert:st_hf_pod_gp,0.05740517654986265,5.740517654986265
71,11,2,expert:st_hf_pod_gp,0.0802000197961114,8.02000197961114
71,12,3,expert:st_hf_pod_gp,0.0624475136845688,6.24475136845688
71,13,4,expert:st_hf_pod_gp,0.0697385991608417,6.97385991608417
71,14,5,expert:st_hf_pod_gp,0.06588835782827697,6.588835782827697
71,15,6,expert:st_hf_pod_gp,0.07922904400787054,7.922904400787053
71,16,7,expert:st_hf_pod_gp,0.05667302347539288,5.667302347539288
71,10,1,expert:uqcorr_transolver_pred,0.3085207632505005,30.85207632505005
71,11,2,expert:uqcorr_transolver_pred,0.2844545612846589,28.44545612846589
71,12,3,expert:uqcorr_transolver_pred,0.23196369680642148,23.19636968064215
71,13,4,expert:uqcorr_transolver_pred,0.19512293650639623,19.512293650639624
71,14,5,expert:uqcorr_transolver_pred,0.1559416804824155,15.59416804824155
71,15,6,expert:uqcorr_transolver_pred,0.13468762800770887,13.468762800770886
71,16,7,expert:uqcorr_transolver_pred,0.11409397885349408,11.409397885349408
71,10,1,expert:uqcorr_convnext_pred,0.09166976172981553,9.166976172981553
71,11,2,expert:uqcorr_convnext_pred,0.08976203877710665,8.976203877710665
71,12,3,expert:uqcorr_convnext_pred,0.08126727819153338,8.126727819153338
71,13,4,expert:uqcorr_convnext_pred,0.08208875791585624,8.208875791585623
71,14,5,expert:uqcorr_convnext_pred,0.07651171412078328,7.6511714120783285
71,15,6,expert:uqcorr_convnext_pred,0.0827781630195676,8.27781630195676
71,16,7,expert:uqcorr_convnext_pred,0.07274514270190363,7.274514270190363
71,10,1,hf_only_control,0.25105313261537626,25.105313261537628
71,11,2,hf_only_control,0.23416490567858048,23.416490567858048
71,12,3,hf_only_control,0.2326329006707058,23.26329006707058
71,13,4,hf_only_control,0.22438209466852138,22.43820946685214
71,14,5,hf_only_control,0.22775669024737305,22.775669024737304
71,15,6,hf_only_control,0.22181780548985927,22.181780548985927
71,16,7,hf_only_control,0.24154640541224207,24.154640541224207
71,10,1,training_mean_control,0.05740517692942737,5.740517692942737
71,11,2,training_mean_control,0.08020002030606393,8.020002030606394
71,12,3,training_mean_control,0.062447514237936784,6.244751423793678
71,13,4,training_mean_control,0.06973859945635905,6.973859945635905
71,14,5,training_mean_control,0.06588835843539756,6.588835843539756
71,15,6,training_mean_control,0.07922904448851116,7.922904448851116
71,16,7,training_mean_control,0.056673024194245615,5.667302419424561
71,10,1,b5__selected_single,0.05740517654986265,5.740517654986265
71,11,2,b5__selected_single,0.0802000197961114,8.02000197961114
71,12,3,b5__selected_single,0.0624475136845688,6.24475136845688
71,13,4,b5__selected_single,0.0697385991608417,6.97385991608417
71,14,5,b5__selected_single,0.06588835782827697,6.588835782827697
71,15,6,b5__selected_single,0.07922904400787054,7.922904400787053
71,16,7,b5__selected_single,0.05667302347539288,5.667302347539288
71,10,1,b5__inverse_mse,0.06906196940187306,6.906196940187306
71,11,2,b5__inverse_mse,0.07104745561594752,7.104745561594752
71,12,3,b5__inverse_mse,0.0541826753867998,5.41826753867998
71,13,4,b5__inverse_mse,0.056904126955922146,5.690412695592214
71,14,5,b5__inverse_mse,0.05126294122025386,5.126294122025386
71,15,6,b5__inverse_mse,0.05940133449359244,5.9401334493592435
71,16,7,b5__inverse_mse,0.043330097671485594,4.3330097671485595
71,10,1,b5__full,0.08069139795375399,8.0691397953754
71,11,2,b5__full,0.08392602291080643,8.392602291080644
