epoch,train_mse,train_nrmse,train_rel_l2,val_mse,val_nrmse,val_rel_l2,lambda_prior,gate_temperature,entropy_reg,alpha_entropy,gamma,alpha_self_mean,alpha_lf1_mean
1,2.3340881227799084,1.1381063977013464,1.2019456902275916,0.22234327002213553,0.46666632478053754,0.481309895332043,0.991,2.99,0.0029850000000000002,0.6921879296717437,1.0024137496948242,0.5167896923811539,0.4832103102103524
2,0.13674644698267396,0.363432935009832,0.3852544429509536,0.14334427565336227,0.37217516280137575,0.38073211449843186,0.982,2.98,0.00297,0.691709796242092,1.016616940498352,0.5262780334638513,0.47372196757275126
3,0.11729644491620686,0.3364190293395001,0.35550868977671085,0.09137471536031136,0.2988563214357083,0.31179076261245287,0.973,2.97,0.002955,0.6925124945847885,1.0410410165786743,0.5168561168338941,0.48314388990402224
4,0.06900261361961779,0.25843862981899923,0.27362285126810487,0.05229396759890593,0.2243466044847782,0.2330471179806269,0.964,2.96,0.00294,0.6929397505262623,1.065706491470337,0.5073373385097669,0.4926626620085343
5,0.04029461346242739,0.1979063005551048,0.20900543707868327,0.03070761585751405,0.17366485240367743,0.18249040440871164,0.955,2.95,0.002925,0.6929892622906229,1.079647421836853,0.50273335394652,0.4972666517547939
6,0.027680672867142635,0.163895910460016,0.1727802854517232,0.026004770699028786,0.15930507274774405,0.16632153666936433,0.946,2.94,0.0029100000000000003,0.6927881510361381,1.087302565574646,0.4997804626174595,0.5002195425655531
7,0.022147676413473875,0.14623995734297712,0.15449616721142892,0.02184064184816984,0.14497295308571595,0.14867834030435637,0.9369999999999999,2.93,0.002895,0.692526738539986,1.0918855667114258,0.5013672258542932,0.4986327731091043
8,0.019924690234272378,0.13806375809337781,0.14539016925770304,0.022636707836332228,0.1478996887229956,0.15184621254985148,0.9279999999999999,2.92,0.00288,0.6921679356823797,1.0975533723831177,0.500683551767598,0.4993164477141007
9,0.0173882064126108,0.12944599999033887,0.1359771085822064,0.012012296409990925,0.10763532009262305,0.11134966290914096,0.919,2.91,0.002865,0.6919471979141235,1.1017698049545288,0.5000505862028702,0.49994941327882847
10,0.014573101140558719,0.11766033548375834,0.1242263727861902,0.01395882273880908,0.11658401214159451,0.12102585429182419,0.91,2.9,0.00285,0.6915575141492097,1.1057523488998413,0.5011427241822948,0.49885727374450023
11,0.012164194760439189,0.10787733436926551,0.11358867689319278,0.009130575121022187,0.09345873789145397,0.0977040663934671,0.901,2.89,0.002835,0.6912950406903806,1.1082431077957153,0.5004208912020144,0.49957911138949185
12,0.01154112737301899,0.10490244471508524,0.1101369453513104,0.01075463815448949,0.10216378019406246,0.10649238469508979,0.892,2.88,0.00282,0.6911390418591706,1.11091947555542,0.5013021005236584,0.4986979018086972
13,0.010407336218201595,0.09989465358464614,0.1050007824016654,0.009864919693567432,0.09704092402870838,0.09991231961892201,0.883,2.87,0.002805,0.6910708634749703,1.114226222038269,0.4987624862919683,0.5012375111165254
14,0.010985037838311298,0.1023516051147295,0.10801192994998848,0.011455848938427292,0.10540149590143791,0.11059924272390512,0.874,2.86,0.00279,0.6910454008890234,1.117706298828125,0.5008205444916435,0.49917945032534394
15,0.008953942034555518,0.09265598602916883,0.09771812428598818,0.006906134094326542,0.0814036874530407,0.0848488283271973,0.865,2.85,0.002775,0.6908624032269354,1.1211919784545898,0.49909714253052423,0.5009028548779695
16,0.007475600411872501,0.0846795635378879,0.0887460673632829,0.012148342695302116,0.10778579989878032,0.10965550834169754,0.856,2.84,0.00276,0.6905999188837798,1.1235078573226929,0.49982600834058677,0.5001739885496057
17,0.013076443208948426,0.109930536021357,0.11527143664982008,0.010547257127025379,0.10047946898983075,0.102544594842654,0.847,2.83,0.002745,0.6908020164655603,1.127524733543396,0.5002497040707132,0.49975029644758806
18,0.010495210487557494,0.09976475860761559,0.10483052102120026,0.014394238859844895,0.11861577343482238,0.1217652063530225,0.838,2.82,0.0027300000000000002,0.6907433022623477,1.1306992769241333,0.499377993915392,0.5006220060846079
19,0.008085241824712442,0.0872435427878214,0.09146288931369781,0.007565589944043985,0.08442537099696122,0.08636271151212546,0.829,2.81,0.002715,0.6902423931204754,1.1339071989059448,0.5008171848628832,0.49918281746947246
20,0.008813499999435051,0.09162342729775802,0.09654634374639262,0.011426809422958355,0.10477978163040601,0.1068243424479778,0.82,2.8,0.0027,0.6902697760125865,1.1373578310012817,0.4994095071502354,0.500590489739957
21,0.009308895869585483,0.09289524458024813,0.09806999512340711,0.01176958534723291,0.10686352619758019,0.1086117524940234,0.8109999999999999,2.79,0.002685,0.6904819918715436,1.140689730644226,0.4981255785278652,0.5018744168074235
22,0.008155981987795753,0.0878893032670021,0.09217022994290228,0.006426750682294369,0.07854456841372527,0.08075148812853374,0.802,2.78,0.00267,0.6900577866512796,1.1445541381835938,0.4994626086691151,0.5005373908125836
23,0.007016287371516228,0.08163542643837307,0.08582328881906426,0.010372399039065035,0.09814934676083234,0.09912945043582183,0.7929999999999999,2.77,0.0026550000000000002,0.6897835954375889,1.147839903831482,0.5002620256465414,0.49973797953647114
24,0.007743402327532354,0.08499176897432494,0.08919823772233465,0.012577781050752562,0.10667555850858872,0.10597515736634915,0.784,2.76,0.00264,0.6898966032525767,1.152164101600647,0.5016651008440101,0.4983349056347557
25,0.007628027171544407,0.0848463290411493,0.08965725827476252,0.004703868019322936,0.06724080242789708,0.06996058515058114,0.775,2.75,0.002625,0.6899562167084735,1.1550555229187012,0.501335168403128,0.49866482693216074
26,0.00544018093496561,0.07204770730889362,0.07576973114324653,0.005748254882816512,0.07360306152930626,0.07525001724178974,0.766,2.74,0.00261,0.6896030280901038,1.1586662530899048,0.4991093137989873,0.5008906986402428
27,0.005488936534232419,0.07243420598299607,0.07572037072285362,0.004274873573404665,0.0641929514419574,0.06650636359476127,0.757,2.73,0.002595,0.6894804493240688,1.1606320142745972,0.50148860734442,0.4985113931738812
28,0.0063540815294760725,0.07725806592599205,0.08164704908495364,0.007841733185789334,0.08592488043583356,0.08722685950879867,0.748,2.7199999999999998,0.00258,0.6894084401752638,1.1633970737457275,0.5018049898354904,0.4981950096462084
29,0.005513441874443189,0.07241993883381719,0.07627010073350823,0.00808402937120543,0.08729444157618743,0.09049279572298893,0.739,2.71,0.002565,0.6892867534056953,1.166977882385254,0.5040810092635777,0.4959190008432969
30,0.006335967532156602,0.07753724209640338,0.08146551698446274,0.008439680391277831,0.09029829330169238,0.09318363867126979,0.73,2.7,0.00255,0.6890753528346186,1.170240044593811,0.504997167898261,0.49500284143116163
31,0.004847736988702546,0.06764458780703338,0.0705831845169482,0.004542242596821429,0.0657175094462358,0.0672970528785999,0.721,2.69,0.002535,0.6889038371003192,1.172627329826355,0.5080202683158542,0.49197974438252656
32,0.005066970154724043,0.06933103320391282,0.07298943504043247,0.008276253526743788,0.08826943959754247,0.09045538220268029,0.712,2.68,0.00252,0.6885804974514506,1.1749985218048096,0.5061917076940122,0.49380829230598783
33,0.006110435572412351,0.07536643153947332,0.07886342380357825,0.005655562290205405,0.07349875368751012,0.07654299185826229,0.703,2.67,0.0025050000000000003,0.6884780453599018,1.1777786016464233,0.5082976828450742,0.49170232052388396
34,0.0061125941615065805,0.07521118126485658,0.07856803730778072,0.00956353624888624,0.0938590091581528,0.09568661580292079,0.694,2.66,0.00249,0.6885719734689464,1.182865023612976,0.5091033868167711,0.4908966204394465
35,0.00640122432909582,0.077046706819016,0.07999640379263007,0.006930351328964417,0.08235062114321269,0.08664731867611408,0.685,2.65,0.002475,0.6885432746099389,1.1859506368637085,0.5070143642632857,0.4929856378099193
36,0.005334772208057668,0.07118828361449034,0.07447021765553433,0.006648513112360468,0.07924855815676543,0.08154566414081134,0.6759999999999999,2.64,0.00246,0.6883408826330434,1.1889452934265137,0.5088765408681787,0.4911234529122062
37,0.005208878543065942,0.06980838211982146,0.07306491181902264,0.005373048936375058,0.07124970022302407,0.07270682072983338,0.667,2.63,0.002445,0.6881307415340258,1.1914284229278564,0.5083024439604386,0.49169755448465763
