dataset,partition,model,kind,budget,n_eval,mean_rel_l2
sharp__cahn_hilliard,172,full,ensemble,20,20,0.4751288408359512
sharp__cahn_hilliard,172,uniform,ensemble,20,20,0.4538402056699706
sharp__cahn_hilliard,172,auto,ensemble,20,20,0.43756278587097697
sharp__cahn_hilliard,273,mf_fno_transfer_film,individual,,20,0.5787657688904158
sharp__cahn_hilliard,273,mf_fno_allpairs,individual,,20,0.5913101838989607
sharp__cahn_hilliard,273,convnext_unet_film,individual,,20,0.6409571061363677
sharp__cahn_hilliard,273,fno_fire_distcond,individual,,20,0.6239649611356654
sharp__cahn_hilliard,273,wno_transfer_film,individual,,20,0.7132613665871316
sharp__cahn_hilliard,273,mf_deeponet,individual,,20,1.2480467138603948
sharp__cahn_hilliard,273,st_hf_pod_gp,individual,,20,0.6902509669892625
sharp__cahn_hilliard,273,uqcorr_transolver_pred,individual,,20,0.6271823586837663
sharp__cahn_hilliard,273,uqcorr_convnext_pred,individual,,20,0.6216537964061866
sharp__cahn_hilliard,273,st_koh_pod,baseline,,20,0.6906821504235268
sharp__cahn_hilliard,273,st_nargp_pod,baseline,,20,0.8473583996295929
sharp__cahn_hilliard,273,st_mfdnn,baseline,,20,0.8934467732906342
sharp__cahn_hilliard,273,st_mfdeeponet,baseline,,20,0.689225134626031
sharp__cahn_hilliard,273,st_dmfal,baseline,,20,0.634032353758812
sharp__cahn_hilliard,273,nomad_mf,baseline,,20,0.8328774304264991
sharp__cahn_hilliard,273,mfrnp,baseline,,20,0.7021944275065519
sharp__cahn_hilliard,273,fno_coregionalization,baseline,,20,0.6920943741350393
sharp__cahn_hilliard,273,mf_fno_transfer,baseline,,20,0.6432200921769354
sharp__cahn_hilliard,273,mf_fno_transfer_bar,baseline,,20,0.6432200921769354
sharp__cahn_hilliard,273,st_lf_affine_pod,baseline,,20,0.690731356292963
sharp__cahn_hilliard,273,st_knn,baseline,,20,0.8558755293488503
sharp__cahn_hilliard,273,st_mean,baseline,,20,0.9995524615049363
sharp__cahn_hilliard,273,selected_single,ensemble,5,20,0.6409571061363677
sharp__cahn_hilliard,273,inverse_mse,ensemble,5,20,0.5779512648335963
sharp__cahn_hilliard,273,full,ensemble,5,20,0.5722918387145532
sharp__cahn_hilliard,273,uniform,ensemble,5,20,0.6047880172517661
sharp__cahn_hilliard,273,auto,ensemble,5,20,0.5722918387145532
sharp__cahn_hilliard,273,selected_single,ensemble,10,20,0.5787657688904158
sharp__cahn_hilliard,273,inverse_mse,ensemble,10,20,0.5750196566399279
sharp__cahn_hilliard,273,full,ensemble,10,20,0.5737748534684994
sharp__cahn_hilliard,273,uniform,ensemble,10,20,0.6047880172517661
sharp__cahn_hilliard,273,auto,ensemble,10,20,0.5737748534684994
sharp__cahn_hilliard,273,selected_single,ensemble,20,20,0.5787657688904158
sharp__cahn_hilliard,273,inverse_mse,ensemble,20,20,0.5747591252420978
sharp__cahn_hilliard,273,full,ensemble,20,20,0.5694030553654447
sharp__cahn_hilliard,273,uniform,ensemble,20,20,0.6047880172517661
sharp__cahn_hilliard,273,auto,ensemble,20,20,0.5694030553654447
sharp__fisher_kpp_2d,71,mf_fno_transfer_film,individual,,20,0.033405925463079175
sharp__fisher_kpp_2d,71,mf_fno_allpairs,individual,,20,0.0339239516295848
sharp__fisher_kpp_2d,71,convnext_unet_film,individual,,20,0.024526064676018776
sharp__fisher_kpp_2d,71,fno_fire_distcond,individual,,20,0.03270138461800612
sharp__fisher_kpp_2d,71,wno_transfer_film,individual,,20,0.04144456471721016
sharp__fisher_kpp_2d,71,mf_deeponet,individual,,20,0.07143264771573996
sharp__fisher_kpp_2d,71,st_hf_pod_gp,individual,,20,0.07433914952497286
sharp__fisher_kpp_2d,71,uqcorr_transolver_pred,individual,,20,0.03033289059791335
sharp__fisher_kpp_2d,71,uqcorr_convnext_pred,individual,,20,0.029591123997850976
sharp__fisher_kpp_2d,71,st_koh_pod,baseline,,20,0.07433913741260767
sharp__fisher_kpp_2d,71,st_nargp_pod,baseline,,20,0.0743391377851367
sharp__fisher_kpp_2d,71,st_mfdnn,baseline,,20,0.07604110192041844
sharp__fisher_kpp_2d,71,st_mfdeeponet,baseline,,20,0.04309619353152812
sharp__fisher_kpp_2d,71,st_dmfal,baseline,,20,0.03660727720707655
sharp__fisher_kpp_2d,71,nomad_mf,baseline,,20,0.0807587480307064
sharp__fisher_kpp_2d,71,mfrnp,baseline,,20,0.043785186300761024
sharp__fisher_kpp_2d,71,fno_coregionalization,baseline,,20,0.050752702889643966
sharp__fisher_kpp_2d,71,mf_fno_transfer,baseline,,20,0.03544743256818127
sharp__fisher_kpp_2d,71,mf_fno_transfer_bar,baseline,,20,0.03544743256818127
sharp__fisher_kpp_2d,71,st_lf_affine_pod,baseline,,20,0.07433907706290484
sharp__fisher_kpp_2d,71,st_knn,baseline,,20,0.06263347910717129
sharp__fisher_kpp_2d,71,st_mean,baseline,,20,0.07433913834393024
sharp__fisher_kpp_2d,71,selected_single,ensemble,5,20,0.024526064676018776
sharp__fisher_kpp_2d,71,inverse_mse,ensemble,5,20,0.026979268196686307
sharp__fisher_kpp_2d,71,full,ensemble,5,20,0.024058749884964238
sharp__fisher_kpp_2d,71,uniform,ensemble,5,20,0.032164983129594205
sharp__fisher_kpp_2d,71,auto,ensemble,5,20,0.024526064676018776
sharp__fisher_kpp_2d,71,selected_single,ensemble,10,20,0.024526064676018776
sharp__fisher_kpp_2d,71,inverse_mse,ensemble,10,20,0.027012168098722235
sharp__fisher_kpp_2d,71,full,ensemble,10,20,0.023796136809595844
sharp__fisher_kpp_2d,71,uniform,ensemble,10,20,0.032164983129594205
sharp__fisher_kpp_2d,71,auto,ensemble,10,20,0.023796136809595844
sharp__fisher_kpp_2d,71,selected_single,ensemble,20,20,0.024526064676018776
sharp__fisher_kpp_2d,71,inverse_mse,ensemble,20,20,0.02738702628592627
sharp__fisher_kpp_2d,71,full,ensemble,20,20,0.02363451258977354
sharp__fisher_kpp_2d,71,uniform,ensemble,20,20,0.032164983129594205
sharp__fisher_kpp_2d,71,auto,ensemble,20,20,0.02363451258977354
sharp__fisher_kpp_2d,172,mf_fno_transfer_film,individual,,20,0.025244446806499815
sharp__fisher_kpp_2d,172,mf_fno_allpairs,individual,,20,0.02460295617908285
sharp__fisher_kpp_2d,172,convnext_unet_film,individual,,20,0.018792687541860635
sharp__fisher_kpp_2d,172,fno_fire_distcond,individual,,20,0.02125495330981638
sharp__fisher_kpp_2d,172,wno_transfer_film,individual,,20,0.02909160515311347
sharp__fisher_kpp_2d,172,mf_deeponet,individual,,20,0.0552806414562228
sharp__fisher_kpp_2d,172,st_hf_pod_gp,individual,,20,0.05640171479350638
sharp__fisher_kpp_2d,172,uqcorr_transolver_pred,individual,,20,0.02358068500836241
sharp__fisher_kpp_2d,172,uqcorr_convnext_pred,individual,,20,0.023800282976100953
sharp__fisher_kpp_2d,172,st_koh_pod,baseline,,20,0.05640160981565714
sharp__fisher_kpp_2d,172,st_nargp_pod,baseline,,20,0.0564017042517662
sharp__fisher_kpp_2d,172,st_mfdnn,baseline,,20,0.05210016334895044
sharp__fisher_kpp_2d,172,st_mfdeeponet,baseline,,20,0.03139988442417234
sharp__fisher_kpp_2d,172,st_dmfal,baseline,,20,0.027249094913713634
sharp__fisher_kpp_2d,172,nomad_mf,baseline,,20,0.05838072607047255
sharp__fisher_kpp_2d,172,mfrnp,baseline,,20,0.03134259678452762
sharp__fisher_kpp_2d,172,fno_coregionalization,baseline,,20,0.03657945845082019
sharp__fisher_kpp_2d,172,mf_fno_transfer,baseline,,20,0.02271932635579014
sharp__fisher_kpp_2d,172,mf_fno_transfer_bar,baseline,,20,0.02271932635579014
sharp__fisher_kpp_2d,172,st_lf_affine_pod,baseline,,20,0.056401498056948184
sharp__fisher_kpp_2d,172,st_knn,baseline,,20,0.046471770480275156
sharp__fisher_kpp_2d,172,st_mean,baseline,,20,0.05640170406550169
sharp__fisher_kpp_2d,172,selected_single,ensemble,5,20,0.018792687541860635
sharp__fisher_kpp_2d,172,inverse_mse,ensemble,5,20,0.01953853148998684
sharp__fisher_kpp_2d,172,full,ensemble,5,20,0.018425103683569186
sharp__fisher_kpp_2d,172,uniform,ensemble,5,20,0.02312436760410224
sharp__fisher_kpp_2d,172,auto,ensemble,5,20,0.018425103683569186
sharp__fisher_kpp_2d,172,selected_single,ensemble,10,20,0.018792687541860635
sharp__fisher_kpp_2d,172,inverse_mse,ensemble,10,20,0.019432434432921957
sharp__fisher_kpp_2d,172,full,ensemble,10,20,0.018653791916487996
sharp__fisher_kpp_2d,172,uniform,ensemble,10,20,0.02312436760410224
sharp__fisher_kpp_2d,172,auto,ensemble,10,20,0.018653791916487996
sharp__fisher_kpp_2d,172,selected_single,ensemble,20,20,0.018792687541860635
sharp__fisher_kpp_2d,172,inverse_mse,ensemble,20,20,0.019256210717156975
sharp__fisher_kpp_2d,172,full,ensemble,20,20,0.018611853734518007
sharp__fisher_kpp_2d,172,uniform,ensemble,20,20,0.02312436760410224
sharp__fisher_kpp_2d,172,auto,ensemble,20,20,0.018611853734518007
sharp__fisher_kpp_2d,273,mf_fno_transfer_film,individual,,20,0.03753026726749324
sharp__fisher_kpp_2d,273,mf_fno_allpairs,individual,,20,0.03794236159891954
sharp__fisher_kpp_2d,273,convnext_unet_film,individual,,20,0.027606110862119733
sharp__fisher_kpp_2d,273,fno_fire_distcond,individual,,20,0.03540693824205736
sharp__fisher_kpp_2d,273,wno_transfer_film,individual,,20,0.04436444840100211
sharp__fisher_kpp_2d,273,mf_deeponet,individual,,20,0.06802782174805969
