epoch,train_mse,train_nrmse,train_rel_l2,val_mse,val_nrmse,val_rel_l2,lambda_prior,gate_temperature,entropy_reg,alpha_entropy,gamma,alpha_self_mean,alpha_lf1_mean,alpha_lf2_mean,alpha_lf3_mean,alpha_lf4_mean
1,0.5941431057941772,0.5143110598402095,0.5351961311215816,0.08641995992330671,0.24951553286857975,0.2501200674083626,0.991,2.99,0.0029850000000000002,1.5613703472735956,1.0287665128707886,0.32223261548175874,0.17366065741814957,0.1756456801738594,0.162608610011079,0.1658524354428344
2,0.04687459718731275,0.18267234850848796,0.18776695559713402,0.009872392430286673,0.09696354905089129,0.10869382520757832,0.982,2.98,0.00297,1.5179592879665014,1.0319719314575195,0.3804244472848476,0.1573579947056651,0.1623586896285172,0.1484973758103146,0.1513614915998958
3,0.014917753783462167,0.10991749292023148,0.11369830069822805,0.007479868196312664,0.08140123697015846,0.08780200283938241,0.973,2.97,0.002955,1.4975639619216339,1.0354931354522705,0.40493306501421683,0.14937872712244557,0.15661165509757208,0.14347193790569368,0.14560461659125992
4,0.008650779295874503,0.08426070617801074,0.08725333949965582,0.00447716948449684,0.06284629658443257,0.06874378593367281,0.964,2.96,0.00294,1.4780238994946309,1.0393710136413574,0.42387402316516953,0.14463716130562118,0.1511340161035167,0.13961157047399092,0.14074323228464322
5,0.008346936783786705,0.08040600651460543,0.08283761773869218,0.0022080175276818566,0.04521973830765312,0.04886598177977557,0.955,2.95,0.002925,1.4633742189044932,1.0423437356948853,0.43679968587220946,0.14237846341894192,0.1466006736284229,0.13709583841304696,0.1371253405280015
6,0.006695571569392172,0.07098238310907097,0.0725458112548345,0.0033956358601447663,0.054853313738136615,0.058887195836716484,0.946,2.94,0.0029100000000000003,1.4610209088372097,1.0445623397827148,0.4391035543720316,0.14279771312246106,0.14542533568916569,0.13699748439069162,0.13567591393032757
7,0.004734928719699383,0.061496027000046194,0.06328789340119796,0.00350152822414829,0.05497923082880025,0.05889179251943399,0.9369999999999999,2.93,0.002895,1.4460698377814278,1.047101378440857,0.4516356439854501,0.14050925218062343,0.1417990697064436,0.13412142644487685,0.13193460786057865
8,0.005278404322771373,0.06294075508038721,0.06470758037542546,0.004346482810627633,0.060612811788337904,0.06471225655483968,0.9279999999999999,2.92,0.00288,1.4480753066614835,1.050212025642395,0.4500635638428563,0.14247597454684047,0.14089376004524004,0.13403697174353915,0.13252973321918296
9,0.004384323461871113,0.05887248299117974,0.06122361349263487,0.002831989490128692,0.05112001800783051,0.055537541641049015,0.919,2.91,0.002865,1.4418646473837986,1.0539131164550781,0.4550462975758295,0.14307592992026694,0.13899138925777066,0.13227157242976365,0.1306148142787455
10,0.003988188211492644,0.05551836286933363,0.057090727064301475,0.004194832765226008,0.0593584189643559,0.06286172123933301,0.91,2.9,0.00285,1.4298260134283804,1.0558801889419556,0.4648305589290706,0.14121136918712515,0.13661478726793966,0.12966690688969387,0.12767637989420066
