model,dataset,rel_l2_mean,nRMSE,ci95_lo,ci95_hi,n_samples,n_params,train_seconds,latency_ms,peak_mem_mb
mf_fno_allpairs,burgers_2d_generated,0.0051412573809557945,0.005294806819189729,0.004700578937618594,0.005619011613212159,100,4774209,10611.291498661041,1.4639592170715332,1766.90944
mf_fno_allpairs,cahn_hilliard_generated,1.2685515775497267,1.2816357564299088,1.231741183101437,1.305216684256816,100,4774465,10672.341575145721,1.3568925857543945,1766.913536
mf_fno_allpairs,darcy_generated,0.03354959330814032,0.0655002979173351,0.02865220098932651,0.03909041089427916,100,4777793,3269.296759366989,0.5064225196838379,555.309568
mf_fno_allpairs,euler_generated,0.06003700223866539,0.07006367291374746,0.054452917519106095,0.06594101108026841,100,4775489,3220.976793527603,0.5738353729248047,555.292672
mf_fno_allpairs,heat_local,8.942728306437622e-05,9.243610137845425e-05,8.77168139930137e-05,9.12693830890115e-05,512,4774465,24931.131819486618,0.3067408688366413,555.283968
mf_fno_allpairs,ifc_poisson,0.46252556092515584,0.39232069146061,0.3792837636283429,0.5503874922345093,128,4774977,186.94125843048096,0.12697279453277588,247.17056
mf_fno_allpairs,kuramoto_sivashinsky_generated,1.3582202572575222,1.310010285606414,1.3222092814292483,1.395669251952535,100,4774209,9318.53455042839,1.0619902610778809,1766.90944
mf_fno_allpairs,lid_driven_cavity_generated,0.007725965079684527,0.007748954656411211,0.007527849476775519,0.007924903877738263,10,4773953,1969.129475593567,2.354598045349121,1155.45856
mf_fno_allpairs,poisson_local,0.005360036798990615,0.0046961119025811454,0.004950706177586134,0.005816492632582352,512,4774977,1527.9568367004395,0.30336668714880943,555.288064
mf_fno_allpairs,shallow_water_2d_generated,0.0034334874417096227,0.006607858843049935,0.002825931106112823,0.004188988932165098,100,4774209,3186.5326228141785,0.5988764762878418,555.279872
mf_fno_diffprior,burgers_2d_generated,0.9192491950899923,0.9091831881801151,0.8995166871344711,0.9390094016534688,100,221329,2886.6482696533203,0.685884952545166,5547.85024
mf_fno_diffprior,cahn_hilliard_generated,1.0937829080282337,1.1075449730006535,1.058725116935868,1.1283607551755628,100,221585,2737.2973053455353,0.9835505485534668,5547.8528
mf_fno_diffprior,darcy_generated,0.4049078856438781,0.44147972078108105,0.3585585875488972,0.45777036138392907,100,224913,394.87480068206787,0.3131747245788574,1438.777344
mf_fno_diffprior,era5,0.1512455976868594,0.1525027756963548,0.13753739810412988,0.1675152376919938,7,223889,3064.983018875122,2.8135435921805247,260.748288
mf_fno_diffprior,euler_generated,0.3281745871186255,0.31236038813183,0.3069673236861644,0.3502197735922757,100,222609,440.41098499298096,0.43929100036621094,1438.755328
mf_fno_diffprior,heat_local,0.13067581314657312,0.14681901907340675,0.12572186254012155,0.1357997937540749,512,221585,1024.3109149932861,0.18259277567267418,7082.240512
mf_fno_diffprior,ifc_poisson,76.90998941351745,64.5171958718063,71.46359455943524,82.6130025682945,128,222097,31.44755506515503,0.13441406190395355,507.374592
mf_fno_diffprior,kuramoto_sivashinsky_generated,1.2915430571531967,1.1750482954415196,1.2306436902005775,1.3563423045612328,100,221329,2924.5511240959167,0.6912946701049805,5547.85024
mf_fno_diffprior,lid_driven_cavity_generated,0.7436576073854522,0.7452568915926033,0.7355410087656512,0.7518207115963935,10,221073,293.58252787590027,1.5752315521240234,616.84992
mf_fno_diffprior,pm_test,0.1348458834254889,0.13507655051840156,0.12859036055234102,0.14153457176088816,7,223889,3199.4164140224457,2.2747176034109935,260.748288
mf_fno_diffprior,poisson_local,122.94300577005946,103.81681979836893,118.71539439984356,127.35710243060323,512,222097,63.33513808250427,0.187017023563385,7082.248704
mf_fno_diffprior,shallow_water_2d_generated,0.24947479152470656,0.28635785966065763,0.2283365191900346,0.2704035183740913,100,221329,431.50556898117065,0.7180929183959961,1438.74304
mf_fno_foundation,burgers_2d_generated,0.005605076290981076,0.005693369421953339,0.005178181498510245,0.006072055990592887,100,4811905,6220.033048152924,1.4365530014038086,1767.086592
mf_fno_foundation,cahn_hilliard_generated,1.2402977650064737,1.2565076670658517,1.2007439372987962,1.2800480219902521,100,4811905,5319.431511640549,1.0513734817504883,1767.086592
mf_fno_foundation,darcy_generated,0.11856913907937225,0.1583221139710526,0.1090326680394023,0.12875784512555963,100,4811905,1888.9020764827728,0.8761811256408691,555.588608
mf_fno_foundation,era5,0.058549413792451536,0.059428640420391414,0.051296243063207556,0.06642410704128202,7,4811905,5370.054368257523,2.513953617640904,497.783296
mf_fno_foundation,euler_generated,0.06702560943828594,0.07592660113486173,0.06154551494069013,0.0727232430262247,100,4811905,1924.0917069911957,0.7211017608642578,555.588096
mf_fno_foundation,heat_local,0.00019209962273060386,0.00021732720775737826,0.00018381724777033628,0.00020298838304344134,512,4811905,4344.920742511749,0.28182752430438995,555.588096
mf_fno_foundation,ifc_poisson,0.057638422150329785,0.05049715327059728,0.050654269650201936,0.06539058607051655,128,4811905,223.53188252449036,0.14693289995193481,247.470592
mf_fno_foundation,kuramoto_sivashinsky_generated,1.3107263365032937,1.2635347590163841,1.2766364759362934,1.3472134860262845,100,4811905,6133.5557107925415,1.4876818656921387,1767.086592
mf_fno_foundation,lid_driven_cavity_generated,0.011267820655778058,0.01124005700771488,0.010973535549525832,0.011636443582722188,10,4811905,637.0754835605621,6.847262382507324,1155.765248
mf_fno_foundation,pm_test,0.058549413792451536,0.059428640420391414,0.051296243063207556,0.06642410704128202,7,4811905,4630.583674669266,2.727644784109933,497.783296
mf_fno_foundation,poisson_local,0.0048140056882778285,0.004668904440615235,0.004257239209943305,0.005452407368804696,512,4811905,305.93171739578247,0.32181525602936745,555.588096
mf_fno_foundation,shallow_water_2d_generated,0.0035211867348659085,0.006635230079431288,0.002931670209123175,0.004268052165627503,100,4811905,1935.3811478614807,0.6766819953918457,555.588096
mf_fno_hyperfilm,burgers_2d_generated,0.005388429658752584,0.005499903384857139,0.004954580235375628,0.005863025290412143,100,4796113,8584.908576965332,1.2178945541381836,1767.091712
mf_fno_hyperfilm,cahn_hilliard_generated,1.3676782961390597,1.3814210526161623,1.3287369608899153,1.405990243805021,100,4796433,8626.431870698929,1.167585849761963,1767.091712
mf_fno_hyperfilm,darcy_generated,0.03009889485791244,0.05925034699916445,0.025506300804688492,0.035257901024530934,100,4800593,2151.896495103836,0.4133486747741699,555.761664
mf_fno_hyperfilm,era5,0.06681209468222502,0.06821445916941625,0.05673942405153204,0.07709322222467363,7,4799313,7244.175370931625,2.8079237256731306,497.68448
mf_fno_hyperfilm,euler_generated,0.06421548514807573,0.07438498737619213,0.058272768759296,0.07032108842138078,100,4797713,2209.4602251052856,0.4504513740539551,555.734528
mf_fno_hyperfilm,heat_local,0.00014025590207074624,0.0001483760273715743,0.00013671480125480726,0.00014411621508334413,512,4796433,5587.158445119858,0.28852885589003563,555.724288
mf_fno_hyperfilm,ifc_poisson,0.0619461613525472,0.056536087455178505,0.052365759574358,0.0723002608053589,128,4797073,159.5772681236267,0.10181218385696411,247.34976
mf_fno_hyperfilm,kuramoto_sivashinsky_generated,1.4293500335723832,1.3637368220032524,1.3887140525550548,1.4740966824180435,100,4796113,8870.310405731201,1.172330379486084,1767.091712
mf_fno_hyperfilm,lid_driven_cavity_generated,0.011228437133678975,0.011215688395559902,0.01092273673468647,0.011557404344288216,10,4795793,647.104495048523,2.317690849304199,1155.6352
mf_fno_hyperfilm,pm_test,0.06681209468222502,0.06821445916941625,0.05673942405153204,0.07709322222467363,7,4799313,5617.017423629761,2.441065652029855,497.68448
mf_fno_hyperfilm,poisson_local,0.0021087154739560226,0.0018145686981768689,0.0020071892005402137,0.002216657269468043,512,4797073,307.3444743156433,0.2965899184346199,555.467264
mf_fno_hyperfilm,shallow_water_2d_generated,0.004031136274407447,0.006804110373598041,0.00343622040956867,0.004759532667738371,100,4796113,1851.92360830307,0.41452884674072266,555.724288
mf_fno_lora,burgers_2d_generated,0.02408147327703274,0.02406334303568506,0.022932169798410815,0.02529488838012301,100,4780909,5528.075774908066,1.067521572113037,1766.968832
mf_fno_lora,cahn_hilliard_generated,1.1633810133738056,1.17336862241159,1.133877150675439,1.1922039242390847,100,4781181,6362.382915258408,1.2560844421386719,1766.972928
mf_fno_lora,darcy_generated,0.03256105071805849,0.057697990986159964,0.027904769624074798,0.03776840569683156,100,4784717,1680.390473127365,0.31229257583618164,556.417024
mf_fno_lora,era5,0.05958209758214443,0.059666243841038205,0.05691195739235717,0.06234569483684763,7,4783629,5190.50484251976,0.8289473397391183,497.556992
mf_fno_lora,euler_generated,0.06540043796000033,0.07382919505524199,0.06033724191662279,0.07073909000060276,100,4782269,1956.6121604442596,0.3558635711669922,556.400128
mf_fno_lora,heat_local,0.0010817902757506823,0.0011226413284663945,0.0010612709988016117,0.001104205517644317,512,4781181,4860.909441947937,0.3708028234541416,556.391936
mf_fno_lora,ifc_poisson,0.11010356025045231,0.10757432085886716,0.10393881845331714,0.11681629853516183,128,4781725,126.88390898704529,0.11593848466873169,247.361024
mf_fno_lora,kuramoto_sivashinsky_generated,1.3684568958564247,1.3834179002211175,1.3276380468350175,1.4124902007814324,100,4780909,5459.481275320053,1.0753583908081055,1766.968832
mf_fno_lora,lid_driven_cavity_generated,0.21368067688879208,0.21269852651233304,0.20543989914638822,0.22288458537950162,10,4780637,570.0132572650909,1.2177705764770508,1155.517952
mf_fno_lora,pm_test,0.05958209758214443,0.059666243841038205,0.05691195739235717,0.06234569483684763,7,4783629,5315.602245807648,0.890425273350307,497.556992
mf_fno_lora,poisson_local,0.018803495078485867,0.017531673914049088,0.018351807872424828,0.019284188818745177,512,4781725,299.3538484573364,0.35670632496476173,556.396032
mf_fno_lora,shallow_water_2d_generated,0.009817851819532082,0.009894339812430179,0.009129310591145526,0.010517420128673554,100,4780909,1869.3658454418182,0.3509330749511719,556.38784
mf_fno_ptr,burgers_2d_generated,0.005280324293204859,0.005411499821549194,0.004841816717719619,0.005753754118905693,100,4773697,5379.806639671326,1.0932230949401855,1766.774272
mf_fno_ptr,cahn_hilliard_generated,1.349364856287773,1.3631877515734534,1.310777962250198,1.386599199098996,100,4773953,6082.251047372818,1.404581069946289,1766.778368
mf_fno_ptr,darcy_generated,0.032176616744452186,0.05778162735355403,0.02746282966201053,0.037417770371560105,100,4777281,1831.5526497364044,0.7209134101867676,555.30496
mf_fno_ptr,era5,0.07231217372227801,0.07374730986307398,0.062089657014947626,0.0834614852360274,7,4776257,5159.915274858475,5.514621734619141,497.493504
mf_fno_ptr,euler_generated,0.0624259392717815,0.0734639453557428,0.056394816038044415,0.0686212163468456,100,4774977,1819.9523303508759,0.6085371971130371,555.288064
mf_fno_ptr,heat_local,0.00014000548783055109,0.00014802555715814016,0.00013655826912821201,0.0001438081918571882,512,4773953,4237.056077718735,0.27840258553624153,555.279872
mf_fno_ptr,ifc_poisson,0.04756449591525805,0.04234211439988808,0.040583384978770544,0.055275468193902826,128,4774465,194.5294909477234,17.60670356452465,247.428608
mf_fno_ptr,kuramoto_sivashinsky_generated,1.4246500946392766,1.40237925637419,1.3785166490348506,1.4754676677179601,100,4773697,6031.522740125656,1.5325021743774414,1766.774272
mf_fno_ptr,lid_driven_cavity_generated,0.020346282466619566,0.020243334214626617,0.019346563849259337,0.021436421121082114,10,4773441,546.9784471988678,2.096080780029297,1155.454464
mf_fno_ptr,pm_test,0.07231217372227801,0.07374730986307398,0.062089657014947626,0.0834614852360274,7,4776257,5232.1135330200195,6.196294512067523,497.493504
mf_fno_ptr,poisson_local,0.0024657001750500347,0.0021284699449327826,0.0022937596212495998,0.0026494773971217976,512,4774465,267.1591000556946,0.2794405445456505,555.283968
mf_fno_ptr,shallow_water_2d_generated,0.003564012307713924,0.005285320679207803,0.0030887861954198436,0.004104845596965079,100,4773697,1816.9833779335022,0.44193029403686523,555.275776
mf_fno_richardson,burgers_2d_generated,0.005456750984862134,0.0055609466519186985,0.0050197731778010525,0.005933702820241513,100,4773953,9654.13145327568,1.320645809173584,1766.90944
mf_fno_richardson,cahn_hilliard_generated,1.268195607392531,1.2802945483628263,1.2338715567099428,1.3016652730131806,100,4774209,9077.344147920609,1.319434642791748,1766.90944
mf_fno_richardson,darcy_generated,0.03533190337808589,0.06931413787686724,0.02992933299211454,0.04135728037978909,100,4777537,2733.5847206115723,0.552976131439209,556.358144
mf_fno_richardson,era5,0.06197434764591501,0.062225549842887196,0.05856053037980187,0.06637688594471582,7,4776513,18313.35111117363,2.396379198346819,497.4976
mf_fno_richardson,euler_generated,0.061658711639526464,0.07208442629147406,0.055775676988738775,0.06777252015191805,100,4775233,2699.1759462356567,0.49741506576538086,556.33664
mf_fno_richardson,heat_local,0.00015730226535805872,0.0001623534383694186,0.00015430144378994462,0.00016054214418956077,512,4774209,11709.449545621872,0.3468906506896019,556.328448
mf_fno_richardson,ifc_poisson,0.153849959907311,0.13096993648021407,0.1246245655628608,0.1855604904136301,128,4774721,277.57978415489197,0.135054811835289,246.117888
mf_fno_richardson,kuramoto_sivashinsky_generated,1.30476024891734,1.2664363217295191,1.2735595727904043,1.3370794838256417,100,4773953,9052.038013219833,1.5005707740783691,1766.90944
mf_fno_richardson,lid_driven_cavity_generated,0.013921031313356253,0.014118710122303937,0.013116313433059256,0.014710317119273238,10,4773697,1215.42848610878,3.616452217102051,1155.585536
mf_fno_richardson,pm_test,0.06197434764591501,0.062225549842887196,0.05856053037980187,0.06637688594471582,7,4776513,18411.26382112503,2.2788388388497487,497.4976
mf_fno_richardson,poisson_local,0.020349379115079357,0.017579652462581773,0.019025600375112504,0.021790869877065546,512,4774721,715.5178179740906,0.32618315890431404,556.332544
mf_fno_richardson,shallow_water_2d_generated,0.003623460458907486,0.005677896728001357,0.003132810268351901,0.004205235587585737,100,4773953,2685.8574929237366,0.5395841598510742,556.328448
mf_fno_spectral,burgers_2d_generated,0.009763162817238068,0.009736026800896837,0.009199555332067778,0.010354860113770075,100,4773697,5324.2553997039795,1.0218262672424316,1842.933248
mf_fno_spectral,cahn_hilliard_generated,1.1894895217096317,1.2001407309510883,1.1583953681284802,1.2196603429394275,100,4773953,6056.620163679123,1.2917447090148926,1842.937344
mf_fno_spectral,darcy_generated,0.0313273560844043,0.05639937473626153,0.026781757577834082,0.03641086700840008,100,4777281,1671.2089040279388,0.3879570960998535,632.38144
mf_fno_spectral,era5,0.07372386742206118,0.07420721314065624,0.06734798489215858,0.08013157267979339,7,4776257,4566.108903169632,2.2652489798409596,572.99712
mf_fno_spectral,euler_generated,0.06399806166031756,0.07412761571295645,0.05822931781407081,0.0700150158370799,100,4774977,1669.3218491077423,0.37978172302246094,632.364544
mf_fno_spectral,heat_local,0.000280120918358931,0.0002970517611813315,0.0002725503985113813,0.0002882909932279134,512,4773953,4800.513076543808,0.30051078647375107,593.55904
mf_fno_spectral,ifc_poisson,0.04820108542927447,0.04416137606477521,0.04151552433504306,0.05560850170946873,128,4774465,207.9472734928131,0.14146044850349426,258.346496
mf_fno_spectral,kuramoto_sivashinsky_generated,1.3681803712195917,1.3833915426474896,1.3274180007265153,1.41211852026538,100,4773697,6429.7618062496185,1.4273500442504883,1842.933248
mf_fno_spectral,lid_driven_cavity_generated,0.06003535983450733,0.05987255922273115,0.058822528461130334,0.06130520994580496,10,4773441,550.8067655563354,2.1915435791015625,1230.95808
mf_fno_spectral,pm_test,0.07372386742206118,0.07420721314065624,0.06734798489215858,0.08013157267979339,7,4776257,5837.5851793289185,4.151208060128348,572.99712
mf_fno_spectral,poisson_local,0.005150165408324867,0.0043510485831433215,0.004867201234854205,0.005450601192559123,512,4774465,291.2620644569397,0.30602095648646355,593.563136
mf_fno_spectral,shallow_water_2d_generated,0.005298621683773804,0.007337298631730162,0.00468557521228089,0.006016435991904711,100,4773697,1666.7683608531952,0.40909767150878906,632.352256
mf_fno_transfer_bar,burgers_2d_generated,0.005427650878615891,0.005534179920900739,0.004988981024722012,0.005902789147857815,100,4740289,5574.108659029007,1.1989283561706543,1766.509056
mf_fno_transfer_bar,cahn_hilliard_generated,1.2625245773400167,1.2782263905602385,1.223287015106433,1.3021239966048843,100,4740353,5508.494622468948,1.1794805526733398,1766.51008
mf_fno_transfer_bar,darcy_generated,0.05391486624994501,0.11048648840158215,0.04601395040848417,0.06289865860830988,100,4741185,1685.0337932109833,0.4391598701477051,555.01824
mf_fno_transfer_bar,era5,0.10787585674806832,0.11121502101455748,0.08821005210766672,0.12891656892143682,7,4740929,4700.521095752716,2.491916928972517,497.212928
mf_fno_transfer_bar,euler_generated,0.06358790738809962,0.07360230777578847,0.0579445871094303,0.06942507315408221,100,4740609,1469.9098670482635,0.41411876678466797,555.013632
mf_fno_transfer_bar,heat_local,0.00018988446261160226,0.00019630335206066086,0.00018584299551809247,0.00019440508991256666,512,4740353,3740.9440336227417,0.23135356605052948,555.011584
mf_fno_transfer_bar,ifc_poisson,0.06795569732682662,0.05940796053650084,0.05823863002914369,0.07841250177430242,128,4740481,157.75905060768127,0.09879656136035919,247.747072
mf_fno_transfer_bar,kuramoto_sivashinsky_generated,1.3255518850199033,1.321424625847128,1.288401916322029,1.3646005993479249,100,4740289,5458.684442281723,1.2189173698425293,1766.509056
mf_fno_transfer_bar,lid_driven_cavity_generated,0.0420520230233491,0.04186385733499001,0.03970348561871056,0.04485774866497911,10,4740225,523.8595750331879,2.080845832824707,1155.189248
mf_fno_transfer_bar,pm_test,0.10787585674806832,0.11121502101455748,0.08821005210766672,0.12891656892143682,7,4740929,4712.2629153728485,2.706221171787807,497.212928
mf_fno_transfer_bar,poisson_local,0.003674338297105706,0.0033243513649115616,0.003300035414678206,0.004098808410987497,512,4740481,237.43568682670593,0.23060105741024017,556.061184
mf_fno_transfer_bar,shallow_water_2d_generated,0.0038555850959330184,0.009417909083846647,0.0030279785553616206,0.005003415257062645,100,4740289,1491.6939432621002,0.3659987449645996,555.928064
mf_fno_transfer_film,burgers_2d_generated,0.005280324293204859,0.005411499821549194,0.004841816717719619,0.005753754118905693,100,4773697,5372.130701541901,1.0302162170410156,1766.774272
mf_fno_transfer_film,cahn_hilliard_generated,1.349364856287773,1.3631877515734534,1.310777962250198,1.386599199098996,100,4773953,6151.083572626114,1.2357473373413086,1766.778368
mf_fno_transfer_film,darcy_generated,0.0322527037561758,0.057567010562498716,0.027581337157383038,0.037468618200807616,100,4777281,1814.3060412406921,0.4148268699645996,555.30496
mf_fno_transfer_film,era5,0.07231217372227801,0.07374730986307398,0.062089657014947626,0.0834614852360274,7,4776257,5217.6768164634705,2.720696585518973,497.493504
mf_fno_transfer_film,euler_generated,0.06269808175211336,0.07392194272311647,0.0565801522345498,0.06895020375473739,100,4774977,1779.4637694358826,0.4777956008911133,555.288064
mf_fno_transfer_film,heat_local,0.0001434196104541241,0.00015127425905837335,0.0001399944570019393,0.0001471686965912461,512,4773953,4694.374247074127,0.3092619590461254,555.279872
mf_fno_transfer_film,ifc_poisson,0.048359326582087137,0.04297372899467114,0.041202065294406065,0.05631014101106884,128,4774465,165.15503406524658,0.10847300291061401,247.166464
mf_fno_transfer_film,kuramoto_sivashinsky_generated,1.4246500946392766,1.40237925637419,1.3785166490348506,1.4754676677179601,100,4773697,5283.8196856975555,1.0226154327392578,1766.774272
