epoch,train_mse,train_nrmse,train_rel_l2,val_mse,val_nrmse,val_rel_l2,lambda_prior,gate_temperature,entropy_reg,alpha_entropy,gamma,alpha_self_mean,alpha_lf1_mean,alpha_lf2_mean
1,3.641709093461957,1.6131507869352375,1.8056515768954629,2.341200658253261,1.4420918907438005,1.4898624931062971,0.991,2.99,0.0029850000000000002,1.098593373047678,1.0018366575241089,0.333138832920476,0.3333693544069926,0.3334918246980299
2,1.1608502258334243,1.0178247041869581,1.1010314456203527,1.1750514464718955,0.9780986734798977,0.9423503960881915,0.982,2.98,0.00297,1.0985404901337206,1.002567172050476,0.33765007477057607,0.33102331558863324,0.3313266122550295
3,0.8425351057136268,0.8386329161493402,0.8632212260313201,0.9015756568738392,0.8501766920089722,0.811570908342089,0.973,2.97,0.002955,1.0970979489778216,1.0004514455795288,0.35877511480398344,0.32041711347144947,0.32080779211562976
4,0.35495336432206004,0.5493283595955163,0.586123324799956,0.4341697245836258,0.6215824612549373,0.6764139490468162,0.964,2.96,0.00294,1.096385263560111,0.9991298317909241,0.3648431552083869,0.31739823807749834,0.31775860096278946
5,0.16474524780846478,0.37806697320519833,0.4180473476125483,0.31602137855121065,0.5414923812661853,0.5899686728204999,0.955,2.95,0.002925,1.0928726196289062,0.9961779713630676,0.3835511333064029,0.30871515002167016,0.3077337229461001
6,0.2126642962296804,0.43013566261843633,0.4652971275020064,0.14920613116451673,0.3658289781638554,0.38065891180719647,0.946,2.94,0.0029100000000000003,1.0871973016805816,0.9968629479408264,0.40387896226163494,0.3000674681705341,0.29605357165922197
7,0.12658721260857164,0.3315430560655761,0.3688579876171915,0.16447756811976433,0.37184510699340273,0.3839081483227866,0.9369999999999999,2.93,0.002895,1.091672792769315,0.9973311424255371,0.38903251656314786,0.3071227392606568,0.3038447426076521
8,0.07758354964224916,0.2673216151040897,0.30010908266954256,0.0659939774445125,0.2511406775031771,0.2848134232418878,0.9279999999999999,2.92,0.00288,1.0901695008863483,0.9976873397827148,0.3947913285933043,0.3039575203468925,0.30125114687702115
9,0.06630541403826914,0.24263038839164533,0.27558395318817674,0.05786592832633427,0.23199814558029175,0.2646140924521855,0.919,2.91,0.002865,1.0841763479667796,0.9979047775268555,0.4144428623350043,0.29385253996179816,0.29170459770319757
10,0.04411306534485336,0.19913564465547862,0.22690932975526443,0.0350722965917417,0.17696194031408854,0.19587951792137964,0.91,2.9,0.00285,1.0835723542330558,0.9985123872756958,0.4159371706477383,0.29330612274638396,0.2907567107886599
11,0.03147560273084724,0.17160664577233165,0.1967468167606153,0.026323566945003613,0.1566478737762996,0.18359942414930888,0.901,2.89,0.002835,1.0829587986594753,0.999011218547821,0.417243082272379,0.2923798916632669,0.290377021881572
12,0.026012121258597625,0.1546776467248013,0.17703919609387717,0.02964329719543457,0.16972777673176356,0.1963761140193258,0.892,2.88,0.00282,1.0775175910247,1.0006991624832153,0.4306117955007051,0.2855651932850219,0.2838230049400999
13,0.026238820237810153,0.15339072257803196,0.17325861176900698,0.036612183919974735,0.1779224074312619,0.19256195425987244,0.883,2.87,0.002805,1.076715113823874,1.002017855644226,0.432789939537383,0.2842847072241599,0.2829253553298482
14,0.02825704027424779,0.16140812060289217,0.18704710508647718,0.06675805124853339,0.2342803105711937,0.22714799003941671,0.874,2.86,0.00279,1.0742733604029606,1.002717137336731,0.4376251059666015,0.28120446571132596,0.2811704288449204
15,0.041532325329618494,0.19318941889101998,0.22779325957883867,0.07656067130821091,0.2621040769985744,0.2739865141255515,0.865,2.85,0.002775,1.0754708344476265,1.0035473108291626,0.4348908688938409,0.28249028586504754,0.28261884994674147
16,0.044447541629013265,0.19704852815259966,0.23322073566286186,0.024290412265275205,0.1500353759952954,0.17576671285288675,0.856,2.84,0.00276,1.0706542374794943,1.0040373802185059,0.444794401787875,0.2774459160210794,0.2777596821910457
17,0.02362778103142454,0.14382781428203248,0.1668743551300283,0.03670650308153459,0.17036786888326919,0.17167343944311142,0.847,2.83,0.002745,1.072347969339605,1.0045974254608154,0.44050307336606476,0.2794674216655263,0.28002950915119107
18,0.02974733566505867,0.16318013898113318,0.1917583160755927,0.03171730134636164,0.17095389430012023,0.2023824719446046,0.838,2.82,0.0027300000000000002,1.07215262295907,1.00584077835083,0.4414916195367512,0.2787011574234879,0.2798072246083042
19,0.055683575145769534,0.2191300794743655,0.24377531571346417,0.043737475494188924,0.19613743999174663,0.2046963700226375,0.829,2.81,0.002715,1.0753733400712933,1.0061606168746948,0.4337647389947322,0.2830971949978879,0.2831380806471172
20,0.03394383675696557,0.17227420537618168,0.1922865489072967,0.027633035023297583,0.16254728606769017,0.19132602321250097,0.82,2.8,0.0027,1.0745920444789685,1.0067254304885864,0.4372388547972629,0.28107283042188275,0.2816883064152902
21,0.028504797502567892,0.162344401342827,0.18970042989965072,0.03536970727145672,0.1847743115254811,0.22611065953969955,0.8109999999999999,2.79,0.002685,1.067554695564404,1.0070693492889404,0.4517236524506619,0.2738818285758035,0.2743945210649256
22,0.029435024580411744,0.16404045673838832,0.18440565336168857,0.03331935778260231,0.18078583691801345,0.2226949738604682,0.802,2.78,0.00267,1.0653979464581138,1.0075125694274902,0.45514503957932456,0.27206454883541975,0.27279041419949446
23,0.024227200566153777,0.14841563502947488,0.16895481029100584,0.04510150809905359,0.18273589227880752,0.1726070653115,0.7929999999999999,2.77,0.0026550000000000002,1.065398092855487,1.0083009004592896,0.4545854492145672,0.2721633743821529,0.2732511664691724
24,0.022917254386763824,0.14441953024320436,0.16936493704193517,0.03086743051452296,0.1665704527071544,0.18078793798174178,0.784,2.76,0.00264,1.0640582787363153,1.0087565183639526,0.45763935122573585,0.2706256027807269,0.2717350543591014
25,0.016818942763564878,0.12368777577291455,0.14199628171167875,0.012211038930607694,0.10682895886046546,0.12601678126624652,0.775,2.75,0.002625,1.0588361882326895,1.0097665786743164,0.46709009482149494,0.26635392402347763,0.2665559869063528
26,0.0222374353753893,0.14063740848449238,0.1601727777405789,0.018981886894575188,0.1369398363998958,0.1699376670377595,0.766,2.74,0.00261,1.0707699959738213,1.010144829750061,0.44442723090188546,0.27736712861479373,0.27820563630053874
27,0.015851838906344614,0.12123689499863408,0.14058114535975874,0.016615208371409347,0.12461418126310621,0.14060694724321365,0.757,2.73,0.002595,1.058712495000739,1.0106661319732666,0.46666739593472395,0.2664428599048079,0.266889739977686
28,0.010651510813387862,0.09875333086963285,0.1163825494678397,0.0314443432725966,0.1640606905732836,0.17473114601203374,0.748,2.7199999999999998,0.00258,1.0606532640624464,1.01115083694458,0.4637419994463,0.26766457735446464,0.26859341483367116
29,0.017673222625856858,0.1264242014864035,0.1446774079088579,0.018490598038105027,0.12210171616503171,0.12029416859149933,0.739,2.71,0.002565,1.063781604432223,1.0113118886947632,0.45804249194630403,0.2703308965030469,0.27162661364204005
30,0.011690554356104449,0.1022705027931615,0.11785975909023955,0.025653306594384567,0.15652597908462798,0.1829639353922435,0.73,2.7,0.00255,1.0586250999517608,1.0121097564697266,0.46781212718863235,0.2660491680889799,0.2661387010624534
31,0.0162872388926253,0.11976186852706106,0.14004962656058764,0.016946869769266674,0.12540350747959955,0.139293087380273,0.721,2.69,0.002535,1.0602860701711554,1.0128644704818726,0.4648793324043876,0.2672399528193892,0.26788070850205004
32,0.011674435874610617,0.10134900034519664,0.11351193226220314,0.022714180206613883,0.14036977663636208,0.15241252418075288,0.712,2.68,0.00252,1.0572829622971385,1.0136120319366455,0.46989953570198595,0.26451010296219274,0.26559034251330194
33,0.017463609151411475,0.12435000193746466,0.14874254977493956,0.015502678097358771,0.117788699056421,0.13018842467239924,0.703,2.67,0.0025050000000000003,1.0581875934935452,1.0136854648590088,0.46790531957358644,0.2660957648043047,0.2659989072565447
34,0.023913782808864324,0.14317803032565535,0.1636949678262075,0.026327480961169516,0.1548373752406665,0.17108314697231566,0.694,2.66,0.00249,1.0571676597260593,1.0143342018127441,0.4696409974181861,0.2647759720944522,0.2655830435585557
35,0.015682727098464966,0.11792962279236108,0.13251651745093496,0.014762448413031442,0.10935194630708013,0.11008184562836375,0.685,2.65,0.002475,1.061381835686533,1.0150856971740723,0.4626924050481696,0.26681710858094065,0.2704904800967166
