epoch,train_loss,val_loss
1,0.8401807531444132,0.4910607205281333
2,0.4340866745127847,0.37711744362255983
3,0.37876129467881403,0.35568762197306963
4,0.3601226127484054,0.3581808345195509
5,0.3444809748749497,0.3418448038707965
6,0.34378613901097144,0.35112429185444805
7,0.3284247882012939,0.35892327276460484
8,0.3204096771022672,0.38024563057769256
9,0.3097374665458886,0.3589751238532903
10,0.29798860399174876,0.3535399370233351
11,0.2932326488830056,0.3569699726444428
12,0.2453932251689287,0.3024310191588581
13,0.24180089291532603,0.3053603735436796
14,0.22323178963474716,0.29042207052084296
15,0.23757451408527364,0.23881949727377144
16,0.20648814438770594,0.2543250131960171
17,0.21360304466444227,0.26201561788255545
18,0.20787715644980168,0.2713351805813379
19,0.19895578544290055,0.2640201916698628
20,0.22193115285402715,0.35952186553092924
21,0.23966773033167527,0.23853808689410289
22,0.1964487329243944,0.24786405246787407
23,0.1971433904818288,0.23082730631853698
24,0.2050926386036912,0.242912638389878
25,0.18450465158983073,0.26376849637178273
26,0.19976871978167088,0.24724577251211854
27,0.1848443768505468,0.23423459516646267
28,0.17723446577909813,0.23973389292888672
29,0.17672518053330094,0.2275777299583018
30,0.18436756908933738,0.24566452013773538
31,0.18548658445449936,0.2357240805964486
32,0.17514692847606592,0.2467363131422299
33,0.1654564163444403,0.2925088775217241
34,0.18265137998557854,0.24526367334533583
35,0.18103228356058074,0.29857840801174607
36,0.18531541845172636,0.21902136810187783
37,0.1671540278159477,0.2443715628237159
38,0.16483853470096327,0.2868660585745209
39,0.17820898686173003,0.2703515263419644
40,0.1747291675802556,0.23513830247786066
41,0.1556484410352889,0.24431913876377792
42,0.17469374580776612,0.22697159659046848
43,0.16511490875905413,0.2288052688946497
44,0.16074522836756033,0.23225324008836323
45,0.1574762660328172,0.2202305322900777
46,0.15863965179894357,0.26638456874294125
47,0.16075210557806188,0.32172803792138754
48,0.1734149568288869,0.30337237669961087
49,0.1664282239808425,0.2516603712160428
50,0.161871096717296,0.23615145086566547
51,0.16039462918708275,0.2632886923826107
52,0.16814732707349767,0.22849057418922877
53,0.15484876647454895,0.24151017175900447
54,0.15898009107341196,0.23151181179566097
55,0.16911861548145074,0.22545517056452347
56,0.16883108641625005,0.21203536787139124
57,0.14946028611994822,0.24376840373843328
58,0.1680292783179747,0.23074746117585654
59,0.16804328537796936,0.2478759050422286
60,0.16095142228630224,0.26564612428324
61,0.1543972235619163,0.24286615628165434
62,0.1611080826836118,0.23297312490591335
63,0.14599678748383615,0.2513716586347171
64,0.152919878649742,0.25625687721367274
65,0.14756997332181387,0.2518992967277118
66,0.18553146524541975,0.24086314153043964
67,0.1558077143438381,0.2844867522912145
68,0.1587896659785657,0.22753610268527866
69,0.14786437245203812,0.24669946928512776
70,0.15326218563616717,0.26068683911703555
71,0.15097286156324144,0.24650833518968862
72,0.146665793808243,0.24366366601351153
73,0.1456569463162409,0.23333137227576808
74,0.14575926470077114,0.24011001847040264
75,0.1436334134541509,0.24727136380084758
76,0.14710050120532875,0.2135165075038905
77,0.1445618506391655,0.24937430857372736
