epoch,train_mse,train_nrmse,train_rel_l2,val_mse,val_nrmse,val_rel_l2,lambda_prior,gate_temperature,entropy_reg,alpha_entropy,gamma,alpha_self_mean,alpha_lf1_mean
1,4.294844096167045,1.8513033954720748,2.1411881655977485,1.9699994240488325,1.194288547549929,1.0407511677060808,0.991,2.99,0.0029850000000000002,0.6928972026758027,0.9982105493545532,0.49479741799203975,0.5052025590026588
2,1.299023197408308,1.071737109569081,1.1533118998795224,1.2849753775766917,1.0362571818487984,1.0119515401976449,0.982,2.98,0.00297,0.6924760142962137,0.9993840456008911,0.4912195247516297,0.5087804815225434
3,0.9831813992115489,0.9301294904006155,0.99862028318539,0.847101765019553,0.7855421687875476,0.6932911489691053,0.973,2.97,0.002955,0.6929922208451388,1.0025662183761597,0.5086024163062113,0.491397572191138
4,0.4124312322390707,0.6012665723499498,0.6538646712637785,0.21617194371564047,0.4173252944435392,0.405954156603132,0.964,2.96,0.00294,0.6924978055452046,1.006518006324768,0.5168296443788629,0.4831703535297461
5,0.2041803755258259,0.41977997830039576,0.4524201186079728,0.1536748276225158,0.3586543308837073,0.36448038475854055,0.955,2.95,0.002925,0.692884621912973,1.008618950843811,0.5109475882429826,0.48905240443714876
6,0.14380938749302896,0.3421219846135692,0.3676624088956599,0.1320249108331544,0.3508208096027374,0.39875392402921406,0.946,2.94,0.0029100000000000003,0.6930709251186304,1.0054203271865845,0.5057426210035357,0.4942573769050732
7,0.11345103879769643,0.315770508427369,0.34922292671705546,0.08421000412532262,0.2677970251866749,0.2798748995576586,0.9369999999999999,2.93,0.002895,0.6930476960382963,1.0053915977478027,0.5060634424811915,0.49393655542741743
8,0.06584924988840755,0.24343750116072202,0.27563540925059404,0.07273642399481364,0.2562913256032126,0.2675727605819702,0.9279999999999999,2.92,0.00288,0.6928863420821073,1.0061626434326172,0.5097028832686575,0.49029710470584403
9,0.043147578590402476,0.19900400779749217,0.2241633296535726,0.04049765917339495,0.1890410025204931,0.19647309609821864,0.919,2.91,0.002865,0.6927497658813209,1.0083849430084229,0.5109913411893343,0.4890086546278836
10,0.03788897002998151,0.18480069190263748,0.2113875932337945,0.026916490202503546,0.15768623458487646,0.17888701600687845,0.91,2.9,0.00285,0.6928624814016777,1.0097261667251587,0.5075319597595617,0.49246803344341744
11,0.023379873549729063,0.14755443797299736,0.16863991503129927,0.027043400864515985,0.1589116273181779,0.1794551302279745,0.901,2.89,0.002835,0.6928713405341432,1.0127719640731812,0.5067686009825322,0.49323140424594547
12,0.027168774748580496,0.15559671217935128,0.17859591922739096,0.05375458273504462,0.2095519272344453,0.205958577139037,0.892,2.88,0.00282,0.6927736579326161,1.0144089460372925,0.5067567469780905,0.4932432572046916
