dataset,seed,method,n_evaluation,rel_l2,rmse_raw_units,n_base_hf_train
sharp__cahn_hilliard,273,expert:mf_fno_allpairs,20,0.5913101838989607,0.7520080878795101,400
sharp__cahn_hilliard,273,expert:convnext_unet_film,20,0.6409571061363677,0.7980986211323347,400
sharp__cahn_hilliard,273,expert:fno_fire_distcond,20,0.6239649611356654,0.7547077906557655,400
sharp__cahn_hilliard,273,expert:wno_transfer_film,20,0.7132613665871316,0.7978763998482663,400
sharp__cahn_hilliard,273,expert:mf_deeponet,20,1.2480467138603948,1.174258174446806,400
sharp__cahn_hilliard,273,expert:st_hf_pod_gp,20,0.6902509669892625,0.7354051531133341,400
sharp__cahn_hilliard,273,expert:uqcorr_transolver_pred,20,0.6271823586837663,0.7690392822315896,400
sharp__cahn_hilliard,273,expert:uqcorr_convnext_pred,20,0.6216537964061866,0.7678924154169291,400
sharp__cahn_hilliard,273,hf_only_control,20,0.5867188354152477,0.7276015384314263,400
sharp__cahn_hilliard,273,training_mean_control,20,0.9995527373322343,0.900528232150139,400
sharp__cahn_hilliard,273,b5__selected_single,20,0.6409571061363677,0.7980986211323347,400
sharp__cahn_hilliard,273,b5__inverse_mse,20,0.5779512648335963,0.7033420130747519,400
sharp__cahn_hilliard,273,b5__full,20,0.5722918387145531,0.7179275584440166,400
sharp__cahn_hilliard,273,b5__uniform,20,0.6047880172517661,0.7038697900171885,400
sharp__cahn_hilliard,273,b5__auto,20,0.5722918387145531,0.7179275584440166,400
sharp__cahn_hilliard,273,b5__allpairs,20,0.5913101838989607,0.7520080878795101,400
sharp__cahn_hilliard,273,b10__selected_single,20,0.5787657688904158,0.7395579531906962,400
sharp__cahn_hilliard,273,b10__inverse_mse,20,0.5750196566399279,0.7032912768971049,400
sharp__cahn_hilliard,273,b10__full,20,0.5737748534684994,0.7312120188898705,400
sharp__cahn_hilliard,273,b10__uniform,20,0.6047880172517661,0.7038697900171885,400
sharp__cahn_hilliard,273,b10__auto,20,0.5737748534684994,0.7312120188898705,400
sharp__cahn_hilliard,273,b10__allpairs,20,0.5913101838989607,0.7520080878795101,400
sharp__cahn_hilliard,273,b20__selected_single,20,0.5787657688904158,0.7395579531906962,400
sharp__cahn_hilliard,273,b20__inverse_mse,20,0.5747591252420978,0.7037520099101214,400
sharp__cahn_hilliard,273,b20__full,20,0.5694030553654447,0.7271771454438002,400
sharp__cahn_hilliard,273,b20__uniform,20,0.6047880172517661,0.7038697900171885,400
sharp__cahn_hilliard,273,b20__auto,20,0.5694030553654447,0.7271771454438002,400
sharp__cahn_hilliard,273,b20__allpairs,20,0.5913101838989607,0.7520080878795101,400
