dataset,seed,method,n_evaluation,rel_l2,rmse_raw_units,n_base_hf_train
era5,71,expert:mf_fno_transfer_film,7,0.14225511729675722,3.059066141495212,55
era5,71,expert:mf_fno_allpairs,7,0.1769922596331739,4.333235432318358,55
era5,71,expert:convnext_unet_film,7,0.20396226033643314,4.592400125503314,55
era5,71,expert:fno_fire_distcond,7,0.12167663390527449,2.6473620449641007,55
era5,71,expert:wno_transfer_film,7,0.09753139767065291,2.0712382074188223,55
era5,71,expert:mf_deeponet,7,0.09536423348547049,2.023228111945891,55
era5,71,expert:st_hf_pod_gp,7,0.06736881921470356,1.4396174293936597,55
era5,71,hf_only_control,7,0.2333362763975226,4.952681451625266,55
era5,71,training_mean_control,7,0.0673688197211345,1.4396174399580326,55
era5,71,b5__selected_single,7,0.06736881921470356,1.4396174293936597,55
era5,71,b5__inverse_mse,7,0.06554959082319078,1.418212029923274,55
era5,71,b5__full,7,0.06894022098210204,1.4850633026564966,55
era5,71,b5__uniform,7,0.07434745876532511,1.6340567410695035,55
era5,71,b5__auto,7,0.06894022098210204,1.4850633026564966,55
era5,71,b5__allpairs,7,0.1769922596331739,4.333235432318358,55
era5,71,b10__selected_single,7,0.06736881921470356,1.4396174293936597,55
era5,71,b10__inverse_mse,7,0.06585118681411546,1.4253834702346746,55
era5,71,b10__full,7,0.06765340216646379,1.4638971204202975,55
era5,71,b10__uniform,7,0.07434745876532511,1.6340567410695035,55
era5,71,b10__auto,7,0.06765340216646379,1.4638971204202975,55
era5,71,b10__allpairs,7,0.1769922596331739,4.333235432318358,55
era5,172,expert:mf_fno_transfer_film,7,0.14225511729675722,3.059066141495212,55
era5,172,expert:mf_fno_allpairs,7,0.1769922596331739,4.333235432318358,55
era5,172,expert:convnext_unet_film,7,0.20396226033643314,4.592400125503314,55
era5,172,expert:fno_fire_distcond,7,0.12167663390527449,2.6473620449641007,55
era5,172,expert:wno_transfer_film,7,0.09753139767065291,2.0712382074188223,55
era5,172,expert:mf_deeponet,7,0.09536423348547049,2.023228111945891,55
era5,172,expert:st_hf_pod_gp,7,0.06736881921470356,1.4396174293936597,55
era5,172,hf_only_control,7,0.2333362763975226,4.952681451625266,55
era5,172,training_mean_control,7,0.0673688197211345,1.4396174399580326,55
era5,172,b5__selected_single,7,0.06736881921470356,1.4396174293936597,55
era5,172,b5__inverse_mse,7,0.06637039427124938,1.4370555831492096,55
era5,172,b5__full,7,0.06779808842221052,1.4678876791608464,55
era5,172,b5__uniform,7,0.07434745876532511,1.6340567410695035,55
era5,172,b5__auto,7,0.06779808842221052,1.4678876791608464,55
era5,172,b5__allpairs,7,0.1769922596331739,4.333235432318358,55
era5,172,b10__selected_single,7,0.06736881921470356,1.4396174293936597,55
era5,172,b10__inverse_mse,7,0.06585118681411546,1.4253834702346746,55
era5,172,b10__full,7,0.06765340216646379,1.4638971204202975,55
era5,172,b10__uniform,7,0.07434745876532511,1.6340567410695035,55
era5,172,b10__auto,7,0.06765340216646379,1.4638971204202975,55
era5,172,b10__allpairs,7,0.1769922596331739,4.333235432318358,55
era5,273,expert:mf_fno_transfer_film,7,0.14225511729675722,3.059066141495212,55
era5,273,expert:mf_fno_allpairs,7,0.1769922596331739,4.333235432318358,55
era5,273,expert:convnext_unet_film,7,0.20396226033643314,4.592400125503314,55
era5,273,expert:fno_fire_distcond,7,0.12167663390527449,2.6473620449641007,55
era5,273,expert:wno_transfer_film,7,0.09753139767065291,2.0712382074188223,55
era5,273,expert:mf_deeponet,7,0.09536423348547049,2.023228111945891,55
era5,273,expert:st_hf_pod_gp,7,0.06736881921470356,1.4396174293936597,55
era5,273,hf_only_control,7,0.2333362763975226,4.952681451625266,55
era5,273,training_mean_control,7,0.0673688197211345,1.4396174399580326,55
era5,273,b5__selected_single,7,0.06736881921470356,1.4396174293936597,55
era5,273,b5__inverse_mse,7,0.06543407868783711,1.4163597506474537,55
era5,273,b5__full,7,0.06643112758836431,1.4309976010704992,55
era5,273,b5__uniform,7,0.07434745876532511,1.6340567410695035,55
era5,273,b5__auto,7,0.06643112758836431,1.4309976010704992,55
era5,273,b5__allpairs,7,0.1769922596331739,4.333235432318358,55
era5,273,b10__selected_single,7,0.06736881921470356,1.4396174293936597,55
era5,273,b10__inverse_mse,7,0.06585118681411546,1.4253834702346746,55
era5,273,b10__full,7,0.06765340216646379,1.4638971204202975,55
era5,273,b10__uniform,7,0.07434745876532511,1.6340567410695035,55
era5,273,b10__auto,7,0.06765340216646379,1.4638971204202975,55
era5,273,b10__allpairs,7,0.1769922596331739,4.333235432318358,55
