epoch,train_mse,train_nrmse,train_rel_l2,val_mse,val_nrmse,val_rel_l2,lambda_prior,gate_temperature,entropy_reg,alpha_entropy,gamma,alpha_self_mean,alpha_lf1_mean,alpha_lf2_mean
1,1.382517121340099,1.0857288460982473,1.1425360357552243,0.7779744267463684,0.8236646524497441,0.974000905241285,0.991,2.99,0.0029850000000000002,1.0986066241013377,0.9969215989112854,0.3336261688617238,0.33320436875025433,0.33316947232212935
2,0.939046093246393,0.9085041817865873,0.9586898224395618,0.6125819725649697,0.7186316890375954,0.8309535384178162,0.982,2.98,0.00297,1.0986104429813854,0.9952247142791748,0.3333930969238281,0.3334746261437734,0.33313227640955073
3,0.7153385582200268,0.7873905322007966,0.8307491729134008,0.44705079070159365,0.6386770520891462,0.7696863072259086,0.973,2.97,0.002955,1.098586540473135,0.9955336451530457,0.3350674593657778,0.33312268319882843,0.3318098584810893
4,0.2885209201720723,0.5096757704751533,0.5667599952011778,0.27924789062568117,0.5237828024796077,0.6646304513726916,0.964,2.96,0.00294,1.097037857038933,0.995838463306427,0.35750666835851835,0.3220968058234767,0.3203965362749602
5,0.1944144877948259,0.4157530634026778,0.456605617414441,0.17300847172737122,0.4072044576917376,0.5102493209498269,0.955,2.95,0.002925,1.0892756340796488,0.9964613914489746,0.39812741990675005,0.3020440214558652,0.2998285628201669
6,0.10958590201641384,0.31818728697927373,0.35904401697610555,0.10255156244550433,0.30687166324683596,0.387025317975453,0.946,2.94,0.0029100000000000003,1.086302443554527,0.9978841543197632,0.407598428558885,0.2973019135625739,0.2950996589242366
7,0.13496683100075052,0.3390698981912513,0.37049400910996555,0.05452677181788853,0.22724599071911403,0.2857577055692673,0.9369999999999999,2.93,0.002895,1.0834001888308609,0.9981580376625061,0.4163017241578353,0.29292798826569005,0.29077027973375824
8,0.06593353059469607,0.245516433789019,0.2742521271371005,0.048756749369204044,0.20515246902193343,0.24940829404762813,0.9279999999999999,2.92,0.00288,1.0846024877146672,1.0015264749526978,0.41295056384906437,0.2944943889191276,0.2925550477546558
9,0.0762688882256809,0.26385097754629033,0.29408492461631175,0.13972779576267516,0.370147773197719,0.4758645679269518,0.919,2.91,0.002865,1.0840811499378138,1.0044145584106445,0.41451864911798847,0.29373417297999066,0.29174717999341193
10,0.09509375103210148,0.2948135440809685,0.33580148533770915,0.05466371215879917,0.23002444207668304,0.29924353105681284,0.91,2.9,0.00285,1.083085110313014,1.0076518058776855,0.4170552283002619,0.29245700125108687,0.2904877746314333
11,0.04600232800370768,0.20680154389456698,0.23485012117185092,0.07044814207724162,0.24396737345627376,0.2902494690247944,0.901,2.89,0.002835,1.0795388932813679,1.0125960111618042,0.42658333088222306,0.2876708455253066,0.2857458256838614
12,0.0589073206902596,0.2278226896336204,0.260462178472887,0.06770375264542443,0.24220367627484457,0.3056631258555821,0.892,2.88,0.00282,1.078792086818762,1.0189460515975952,0.42830972085919294,0.286721876838751,0.28496839393649187
13,0.08485110247867149,0.26129016410886197,0.29208199287715714,0.0396237846996103,0.19625005977494375,0.25168512761592865,0.883,2.87,0.002805,1.0671118811557168,1.0253621339797974,0.45296873596676607,0.2744394148650922,0.27259184289396854
14,0.05602341641982397,0.2268351455006683,0.26094075645271103,0.0337415233786617,0.1792797286595617,0.2272501758166722,0.874,2.86,0.00279,1.0690165862702488,1.029601812362671,0.4493109881877899,0.27633070788885417,0.27435829869487827
15,0.026802650146317063,0.15861848571844267,0.18097743287421109,0.028113686745720252,0.16179966287953512,0.2010189060653959,0.865,2.85,0.002775,1.074305584556178,1.0357760190963745,0.43834786613782245,0.28171998105551066,0.279932161172231
16,0.06704057151811164,0.24127722806052157,0.2778899470965068,0.04812075650053365,0.21528321291719163,0.27154743884290966,0.856,2.84,0.00276,1.0707651523121617,1.040035367012024,0.4455587801180388,0.27812655191672475,0.27631466169106333
17,0.04221866908891682,0.19379497803094095,0.22423131084233,0.0885630686368261,0.2958717346191406,0.37706985218184336,0.847,2.83,0.002745,1.0645332252770139,1.0433660745620728,0.45751373548256724,0.2721950694134361,0.27029119092121456
18,0.0916066177581486,0.28582189062185454,0.32897093369249714,0.03709215883697782,0.18162718202386582,0.2195162240947996,0.838,2.82,0.0027300000000000002,1.0511210424858226,1.0447075366973877,0.48064491466472026,0.2606599932177025,0.25869509211757724
19,0.03311358487004774,0.17349494366269363,0.19347150846008668,0.026817184207694873,0.16171379813126155,0.2097578261579786,0.829,2.81,0.002715,1.0586568263539098,1.0471688508987427,0.4687340667373256,0.266630350497731,0.2646355843334867
20,0.036849507179699446,0.18447176484685196,0.20712756274039285,0.023357005723352944,0.13887659566743032,0.16622060643775122,0.82,2.8,0.0027,1.0669724648458916,1.050003170967102,0.4536710423335694,0.2741792547075372,0.2721497019131978
21,0.030633004709032543,0.16549672787649589,0.1886544962201202,0.026966460049152374,0.15411632082292012,0.18612078257969447,0.8109999999999999,2.79,0.002685,1.0638901518102277,1.0526447296142578,0.459512778541498,0.2713268472437273,0.269160366894906
22,0.02719807356857417,0.15929207310341953,0.18582093950949216,0.05012755022783365,0.19423793894904,0.2198160226855959,0.802,2.78,0.00267,1.0580024321873982,1.0570317506790161,0.4700700745247958,0.2659892209789209,0.2639407065876743
23,0.03528753311879802,0.16814845486691124,0.18284992978238224,0.023198027962020466,0.14983183784144266,0.188539628471647,0.7929999999999999,2.77,0.0026550000000000002,1.0539051022445947,1.060780644416809,0.47686832306677834,0.26247689807624147,0.2606547720599593
24,0.022058638106835515,0.14318089004148515,0.1623697403753013,0.01875116682744452,0.13042579804147994,0.16068551689386368,0.784,2.76,0.00264,1.0576470232846444,1.0649514198303223,0.46987420947928177,0.2659143460424323,0.26421144238689487
25,0.014103647141733714,0.11425991879220594,0.1282209982736069,0.014521655160933733,0.11782375403812953,0.1510028817823955,0.775,2.75,0.002625,1.0653353573983175,1.0700784921646118,0.4561176185022321,0.2729243385164361,0.27095803879854974
26,0.015565242226186552,0.1208368440469106,0.13643371692874975,0.017650915309786797,0.12744419276714325,0.1623600497841835,0.766,2.74,0.00261,1.0600087851808782,1.07454514503479,0.4656237604325278,0.26829409808443305,0.26608214618866904
27,0.017969165748932904,0.129568377869171,0.14924627830061996,0.016117865751896585,0.12501533329486847,0.15880477960620606,0.757,2.73,0.002595,1.0563699111603855,1.0772427320480347,0.4723420686889113,0.2649678242833991,0.26269011487040606
28,0.012219970751749841,0.10616325521678255,0.12028040658486516,0.014805666503629513,0.11724746440138135,0.14629030334097998,0.748,2.7199999999999998,0.00258,1.054792747162936,1.0801544189453125,0.4749267059460021,0.26372383142772476,0.26134946471766424
29,0.014471876483998801,0.11279728276687756,0.12533591909889588,0.017840268755597726,0.12476941091673714,0.15161736948149546,0.739,2.71,0.002565,1.0438197161021985,1.0827316045761108,0.4922639758963334,0.2552253664062734,0.25251065952736035
30,0.01712750767668088,0.12420296982715004,0.14082616449970947,0.0305903112249715,0.16789352574518748,0.2243886547429221,0.73,2.7,0.00255,1.0480698409833407,1.0865013599395752,0.4854161990316291,0.2587500810623169,0.25583371729181525
31,0.022972508055860538,0.14468023560026236,0.17485929175949932,0.032387955646429746,0.16991069167852402,0.2062583863735199,0.721,2.69,0.002535,1.0512351153189676,1.0895202159881592,0.4801382443361115,0.26150887054309513,0.258352877278077
32,0.02414303289301563,0.14440308302118068,0.15991611804878503,0.020112756373626844,0.13760667187826975,0.16982971344675338,0.712,2.68,0.00252,1.0486352882887189,1.0909860134124756,0.48439731723383855,0.25966056397086695,0.2559421229780766
33,0.012004742300824114,0.10483021328323766,0.11892494520074443,0.007096330202849848,0.079349442252091,0.09696598457438606,0.703,2.67,0.0025050000000000003,1.0504696620138068,1.092926025390625,0.4812510044951188,0.2610948650460494,0.2576541450985691
34,0.008059524097724965,0.08585994494588751,0.09641825080963604,0.016452687260295664,0.1273059227636882,0.1665191916482789,0.694,2.66,0.00249,1.0523787799634432,1.0953322649002075,0.4780911552278619,0.26271564552658483,0.25919320499687865
35,0.0115809694520737,0.10370153855336339,0.11833104726515319,0.021581012356494154,0.14306314608880452,0.18679131248167583,0.685,2.65,0.002475,1.0501687296649866,1.0968444347381592,0.4812002678712209,0.26143107184192593,0.2573686665610263
36,0.019294503488038715,0.12922665816650056,0.14141316215197244,0.02117757512522595,0.1427352268780981,0.1773696712085179,0.6759999999999999,2.64,0.00246,1.042855932001482,1.0985161066055298,0.492412236176039,0.2558970378156294,0.25169072077985394
37,0.01480134026751968,0.11396920680999756,0.12579673659383206,0.014837280314947878,0.11940015533140727,0.15194016056401388,0.667,2.63,0.002445,1.0579235072721516,1.1002393960952759,0.4683423774284229,0.26802939594837655,0.2636282287145916
38,0.01093963732158667,0.10055684873409439,0.11702484611356467,0.005583366445664849,0.07175258653504508,0.08845140997852598,0.6579999999999999,2.62,0.00243,1.0566748401574921,1.1021307706832886,0.4698169487610198,0.2674334070138764,0.2627496447479516
39,0.006376414870222409,0.07764788677817897,0.08799272043663159,0.006803675621215787,0.07985355492149081,0.09996000890220914,0.649,2.61,0.002415,1.0469181537628174,1.1038858890533447,0.4862658601058157,0.2593404603631873,0.2543936800538448
40,0.008692070515009394,0.08784021411025733,0.09882748492977075,0.011483888274856977,0.10314950027636119,0.1292047096150262,0.6399999999999999,2.6,0.0024000000000000002,1.0503807569804944,1.1055785417556763,0.4804418562797078,0.2624703912358535,0.2570877702612626
41,0.010065978499162093,0.09609800851658772,0.10974567631880443,0.006215185392647982,0.07431177794933319,0.08986607832568032,0.631,2.59,0.002385,1.057412076414677,1.1070622205734253,0.4691040369502285,0.26825697850762753,0.2626389882020783
42,0.009027791389247827,0.08856032292048137,0.09968559260953937,0.007799137283914855,0.08560486403959137,0.1108016584600721,0.622,2.58,0.00237,1.049536763576039,1.1091982126235962,0.48268654210525647,0.26159545413234775,0.2557180037623958
