epoch,train_mse,train_nrmse,train_rel_l2,val_mse,val_nrmse,val_rel_l2,lambda_prior,gate_temperature,entropy_reg,alpha_entropy,gamma,alpha_self_mean,alpha_lf1_mean
1,1.947572988376283,1.2611351671971773,1.3647065371797795,0.9278288739068168,0.8674967842442649,0.9859670060021537,0.991,2.99,0.0029850000000000002,0.6931220439442417,0.997779130935669,0.5013228409123003,0.49867717425028485
2,1.0096292595068614,0.9435605145337289,1.0068820359414083,0.633649291736739,0.7355371841362545,0.850769579410553,0.982,2.98,0.00297,0.6930884039192869,0.9980660080909729,0.4958549800672029,0.504145013658624
3,0.5791032983545672,0.7022573602826971,0.7410753635983718,0.3557958219732557,0.5921132777418409,0.7767582152570996,0.973,2.97,0.002955,0.6931340098381042,1.0009269714355469,0.49849609011097956,0.5015039276658443
4,0.21167381277732683,0.4467197337694335,0.5089503024753771,0.6521423294075898,0.6751102485827037,0.7287318365914481,0.964,2.96,0.00294,0.6929992029541417,1.0042192935943604,0.5081827096771776,0.4918172882314314
5,0.3445767438725421,0.527346650759379,0.5778291481628752,0.11856300915990557,0.326011204293796,0.3901404525552477,0.955,2.95,0.002925,0.6930637024996573,1.005818247795105,0.5057002661520975,0.4942997280965772
6,0.1329828660216248,0.34543257585743015,0.3841983921695174,0.07263844087719917,0.2676449843815395,0.3402503366981234,0.946,2.94,0.0029100000000000003,0.6931105893954896,1.006676435470581,0.5031132718972993,0.4968867328083306
7,0.06439098663497389,0.2453215237249408,0.27727349546917696,0.05424582931612219,0.2212214129311698,0.2782448189599173,0.9369999999999999,2.93,0.002895,0.6931077430122777,1.0097934007644653,0.5027107057864206,0.49728928950794954
8,0.046110935639916806,0.20397946604511194,0.22605795034191065,0.04577064873384578,0.19966679917914526,0.23804083253656114,0.9279999999999999,2.92,0.00288,0.6931188713040268,1.0146137475967407,0.5017592593243247,0.49824073126441554
9,0.03292086184547659,0.1758379259130411,0.19659995222300813,0.0774514584669045,0.2727761162178857,0.36204828321933746,0.919,2.91,0.002865,0.6930985095208151,1.0177890062332153,0.5018619570815772,0.4981380408270317
10,0.08047536721355036,0.26634663343429565,0.30167670730958906,0.04390053717153413,0.20431219467094966,0.2619038756404604,0.91,2.9,0.00285,0.6930800320809347,1.0193835496902466,0.5016877567558958,0.4983122453354953
11,0.03876669809483645,0.18948869328749807,0.22106454063925826,0.06812537807439055,0.24835964611598424,0.30324043546404156,0.901,2.89,0.002835,0.6930180557987147,1.0213383436203003,0.5024944930745844,0.497505525747935
12,0.0360127631901649,0.18187918213375828,0.20853488748533683,0.030957421820078577,0.1720298422234399,0.21487468693937575,0.892,2.88,0.00282,0.6930615431384036,1.0245381593704224,0.5016835101863795,0.4983164898136206
13,0.04039654645480608,0.1938914254046323,0.22157522774579233,0.04799367833350386,0.20734038736139024,0.25099351363522665,0.883,2.87,0.002805,0.6930932643120749,1.0268313884735107,0.5006657608768397,0.49933424958011563
14,0.03976323909796121,0.18762862891481633,0.20680097843471326,0.015034389149929796,0.12043887696095876,0.15107678941317967,0.874,2.86,0.00279,0.6931005988204688,1.0286908149719238,0.5003625980594701,0.49963740403192086
15,0.02003064300668867,0.13590901070519498,0.1536884262112149,0.010377925554556506,0.09991211337702614,0.1269266509584018,0.865,2.85,0.002775,0.6930978455041584,1.0309078693389893,0.5006163287581059,0.4993836628763299
16,0.020148845160739462,0.13497364860877656,0.153021831784332,0.01424779646497752,0.11178805785519737,0.13775817624160222,0.856,2.84,0.00276,0.6930918379833824,1.0322152376174927,0.5002390104427672,0.49976099583140593
17,0.027052833992791802,0.15494357493885777,0.17559559682482168,0.015287790447473526,0.12065951526165009,0.15154695510864258,0.847,2.83,0.002745,0.6930839952669645,1.0331990718841553,0.5003543266078883,0.49964566607224314
18,0.02108315162752804,0.1375348706517303,0.15982618457392642,0.02898686911378588,0.1622742201600756,0.19458181730338506,0.838,2.82,0.0027300000000000002,0.693068966530917,1.0350215435028076,0.5001654007978606,0.499834608613399
19,0.013960861731647399,0.11323263064811104,0.12969470337817543,0.00779420869158847,0.0862025043794087,0.10897722840309143,0.829,2.81,0.002715,0.6930643131858424,1.03692626953125,0.5002473069910418,0.49975269300895825
20,0.017100579121656585,0.12102062830276657,0.1328179676804626,0.010807170665689878,0.10050261978592191,0.12440429840769086,0.82,2.8,0.0027,0.6930761149055079,1.0383409261703491,0.49997738474293757,0.5000226199626923
21,0.02120456292310305,0.1325213981040737,0.14562020620755983,0.02422597724944353,0.1500719945345606,0.1841040998697281,0.8109999999999999,2.79,0.002685,0.6930661075993588,1.0397484302520752,0.49970478865138274,0.500295200891662
22,0.013038163873971555,0.11025440339979373,0.12531858002930357,0.018592456887875284,0.13123920134135655,0.18032566138676234,0.802,2.78,0.00267,0.6930358263484219,1.0415557622909546,0.4998163622722291,0.5001836272708157
